#,R_fighter,B_fighter,date,location,country,Winner,weight_class,gender,no_of_rounds,B_losses,B_total_rounds_fought,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_losses,R_total_rounds_fought,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,lose_streak_dif,win_streak_dif,win_dif,loss_dif,height_dif,reach_dif,age_dif,better_rank
1447,Niko Price,George Sullivan,1/27/2018,"Charlotte, North Carolina, USA", USA,Red,Welterweight,MALE,3,2,12,3,Orthodox,182.88,185.42,170,2,6,2,Orthodox,182.88,193.04,170,28,36,0,0,1,0,0.0,-7.62,-8,neither
1448,Austin Arnett,Cory Sandhagen,1/27/2018,"Charlotte, North Carolina, USA", USA,Blue,Featherweight,MALE,3,0,0,0,Switch,180.34,177.8,135,0,0,0,Orthodox,182.88,182.88,145,26,25,0,0,0,0,-2.54,-5.08,1,neither
1449,Stipe Miocic,Francis Ngannou,1/20/2018,"Boston, Massachusetts, USA", USA,Red,Heavyweight,MALE,5,0,8,6,Orthodox,193.04,210.82,250,2,29,11,Orthodox,193.04,203.2,240,35,31,0,1,-5,2,0.0,7.62,4,Red
1450,Daniel Cormier,Volkan Oezdemir,1/20/2018,"Boston, Massachusetts, USA", USA,Red,Light Heavyweight,MALE,5,0,5,3,Orthodox,187.96,190.5,205,2,31,8,Orthodox,180.34,182.88,235,38,28,1,3,-5,2,7.62,7.62,10,Red
1451,Calvin Kattar,Shane Burgos,1/20/2018,"Boston, Massachusetts, USA", USA,Red,Featherweight,MALE,3,0,9,3,Orthodox,180.34,190.5,145,0,3,1,Orthodox,180.34,182.88,145,29,26,0,2,2,0,0.0,7.62,3,neither
1452,Gian Villante,Francimar Barroso,1/20/2018,"Boston, Massachusetts, USA", USA,Red,Light Heavyweight,MALE,3,4,21,4,Orthodox,185.42,190.5,205,6,28,5,Orthodox,190.5,193.04,205,32,37,1,0,-1,2,-5.08,-2.54,-5,Red
1453,Thomas Almeida,Rob Font,1/20/2018,"Boston, Massachusetts, USA", USA,Blue,Bantamweight,MALE,3,2,10,4,Orthodox,172.72,180.34,135,2,13,5,Southpaw,170.18,177.8,135,26,30,0,0,-1,0,2.54,2.54,-4,Red
1454,Kyle Bochniak,Brandon Davis,1/20/2018,"Boston, Massachusetts, USA", USA,Red,Featherweight,MALE,3,0,0,0,Orthodox,177.8,182.88,135,2,9,1,Orthodox,170.18,177.8,145,30,27,1,0,-1,2,7.62,5.08,3,neither
1455,Sabah Homasi,Abdul Razak Alhassan,1/20/2018,"Boston, Massachusetts, USA", USA,Blue,Welterweight,MALE,3,1,5,2,Orthodox,177.8,185.42,170,2,3,0,Orthodox,182.88,182.88,170,29,32,2,1,2,1,-5.08,2.54,-3,neither
1456,Dustin Ortiz,Alexandre Pantoja,1/20/2018,"Boston, Massachusetts, USA", USA,Red,Flyweight,MALE,3,0,6,2,Orthodox,165.1,170.18,125,5,30,6,Orthodox,165.1,165.1,125,29,27,0,1,-4,5,0.0,5.08,2,Red
