#,R_fighter,B_fighter,date,location,country,Winner,weight_class,gender,no_of_rounds,B_losses,B_total_rounds_fought,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_losses,R_total_rounds_fought,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,lose_streak_dif,win_streak_dif,win_dif,loss_dif,height_dif,reach_dif,age_dif,better_rank
1977,Richard Walsh,Jonathan Meunier,11/26/2016,"Melbourne, Victoria, Australia", Australia,Blue,Welterweight,MALE,3,1,3,0,Switch,190.5,190.5,170,3,13,2,Orthodox,182.88,185.42,170,27,29,0,0,-2,2,7.62,5.08,-2,neither
1978,Ben Nguyen,Geane Herrera,11/26/2016,"Melbourne, Victoria, Australia", Australia,Red,Flyweight,MALE,3,2,8,1,Orthodox,165.1,167.64,125,1,4,2,Switch,165.1,165.1,125,28,26,0,0,-1,-1,0.0,2.54,2,Red
1979,Dan Hooker,Jason Knight,11/26/2016,"Melbourne, Victoria, Australia", Australia,Blue,Featherweight,MALE,3,1,6,1,Orthodox,177.8,180.34,145,2,10,3,Switch,182.88,190.5,155,26,24,0,0,-2,1,-5.08,-10.16,2,neither
1980,Marlon Vera,Ning Guangyou,11/26/2016,"Melbourne, Victoria, Australia", Australia,Red,Featherweight,MALE,3,1,8,2,Southpaw,162.56,162.56,145,2,8,1,Switch,172.72,177.8,135,23,34,0,0,1,1,-10.16,-15.24,-11,neither
1981,Yao Zhikui,Jenel Lausa,11/26/2016,"Melbourne, Victoria, Australia", Australia,Blue,Flyweight,MALE,3,0,0,0,Orthodox,165.1,172.72,125,2,7,1,Orthodox,165.1,162.56,125,25,28,1,0,-1,2,0.0,10.16,-3,neither
1982,Ryan Bader,Rogerio Nogueira,11/19/2016,"Sao Paulo, Sao Paulo, Brazil", Brazil,Red,Light Heavyweight,MALE,5,4,19,5,Southpaw,187.96,190.5,205,5,44,14,Orthodox,187.96,187.96,205,33,40,0,0,-9,1,0.0,2.54,-7,Red
1983,Thomas Almeida,Albert Morales,11/19/2016,"Sao Paulo, Sao Paulo, Brazil", Brazil,Red,Bantamweight,MALE,3,1,3,0,Orthodox,175.26,182.88,135,1,8,4,Southpaw,170.18,177.8,135,25,25,0,0,-4,0,5.08,5.08,0,Red
1984,Claudia Gadelha,Cortney Casey,11/19/2016,"Sao Paulo, Sao Paulo, Brazil", Brazil,Red,Women's Strawweight,FEMALE,3,2,8,2,Orthodox,170.18,170.18,115,2,14,2,Orthodox,162.56,160.02,115,27,29,1,2,0,0,7.62,10.16,-2,Red
1985,Thales Leites,Krzysztof Jotko,11/19/2016,"Sao Paulo, Sao Paulo, Brazil", Brazil,Blue,Middleweight,MALE,3,1,15,5,Southpaw,185.42,195.58,185,5,42,11,Orthodox,185.42,198.12,185,35,27,0,3,-6,4,0.0,-2.54,8,Red
1986,Warlley Alves,Kamaru Usman,11/19/2016,"Sao Paulo, Sao Paulo, Brazil", Brazil,Blue,Welterweight,MALE,3,0,8,3,Switch,182.88,193.04,170,1,12,4,Orthodox,180.34,182.88,170,25,29,1,3,-1,1,2.54,10.16,-4,neither
1987,Sergio Moraes,Zak Ottow,11/19/2016,"Sao Paulo, Sao Paulo, Brazil", Brazil,Red,Welterweight,MALE,3,0,3,1,Orthodox,180.34,182.88,170,2,16,4,Orthodox,182.88,182.88,170,34,29,1,1,-3,2,-2.54,0.0,5,neither
1988,Cezar Ferreira,Jack Hermansson,11/19/2016,"Sao Paulo, Sao Paulo, Brazil", Brazil,Red,Middleweight,MALE,3,0,3,1,Orthodox,185.42,195.58,185,3,19,6,Southpaw,185.42,198.12,185,31,28,0,-1,-5,3,0.0,-2.54,3,neither
1989,Marcos Rogerio de Lima,Gadzhimurad Antigulov,11/19/2016,"Sao Paulo, Sao Paulo, Brazil", Brazil,Blue,Light Heavyweight,MALE,3,0,0,0,Orthodox,180.34,177.8,205,1,4,3,Orthodox,185.42,190.5,253,31,29,0,-1,-3,1,-5.08,-12.7,2,neither
1990,Johnny Eduardo,Manvel Gamburyan,11/19/2016,"Sao Paulo, Sao Paulo, Brazil", Brazil,Red,Bantamweight,MALE,3,8,32,6,Orthodox,165.1,170.18,135,2,9,2,Orthodox,170.18,180.34,135,38,35,0,0,4,-6,-5.08,-10.16,3,Red
1991,Luis Henrique,Christian Colombo,11/19/2016,"Sao Paulo, Sao Paulo, Brazil", Brazil,Red,Heavyweight,MALE,3,1,3,0,Orthodox,195.58,203.2,265,1,4,1,Orthodox,187.96,187.96,243,23,36,-1,-1,-1,0,7.62,15.24,-13,neither
1992,Pedro Munhoz,Justin Scoggins,11/19/2016,"Sao Paulo, Sao Paulo, Brazil", Brazil,Red,Bantamweight,MALE,3,2,15,4,Southpaw,170.18,167.64,125,3,9,2,Orthodox,167.64,165.1,135,30,24,0,1,2,1,2.54,2.54,6,neither
1993,Gegard Mousasi,Uriah Hall,11/19/2016,"Belfast, Northern Ireland, United Kingdom", United Kingdom,Red,Middleweight,MALE,5,5,21,5,Orthodox,182.88,200.66,185,3,24,7,Orthodox,187.96,193.04,185,31,32,-2,-3,-2,-2,-5.08,7.62,-1,Red
1994,Ross Pearson,Stevie Ray,11/19/2016,"Belfast, Northern Ireland, United Kingdom", United Kingdom,Blue,Lightweight,MALE,3,1,9,3,Southpaw,177.8,177.8,155,10,54,11,Orthodox,172.72,175.26,155,32,26,1,0,-8,9,5.08,2.54,6,neither
1995,Tim Johnson,Alexander Volkov,11/19/2016,"Belfast, Northern Ireland, United Kingdom", United Kingdom,Blue,Heavyweight,MALE,3,0,0,0,Orthodox,200.66,203.2,250,1,7,2,Southpaw,190.5,195.58,265,31,28,0,-1,-2,1,10.16,7.62,3,Red
1996,Artem Lobov,Teruto Ishihara,11/19/2016,"Belfast, Northern Ireland, United Kingdom", United Kingdom,Red,Featherweight,MALE,3,1,6,2,Southpaw,170.18,175.26,135,2,9,1,Southpaw,175.26,165.1,145,30,25,0,1,1,1,-5.08,10.16,5,neither
1997,Magnus Cedenblad,Jack Marshman,11/19/2016,"Belfast, Northern Ireland, United Kingdom", United Kingdom,Blue,Middleweight,MALE,3,0,0,0,Orthodox,182.88,185.42,185,1,10,4,Orthodox,195.58,200.66,185,34,26,0,-4,-4,1,-12.7,-15.24,8,neither
1998,Kyoji Horiguchi,Ali Bagautinov,11/19/2016,"Belfast, Northern Ireland, United Kingdom", United Kingdom,Red,Flyweight,MALE,3,2,20,4,Orthodox,162.56,165.1,125,1,20,6,Orthodox,165.1,167.64,125,26,31,0,-1,-2,-1,-2.54,-2.54,-5,Red
1999,Kevin Lee,Magomed Mustafaev,11/19/2016,"Belfast, Northern Ireland, United Kingdom", United Kingdom,Red,Lightweight,MALE,3,0,3,2,Orthodox,172.72,180.34,155,2,18,6,Orthodox,175.26,195.58,170,24,28,0,0,-4,2,-2.54,-15.24,-4,neither
2000,Anna Elmose,Amanda Cooper,11/19/2016,"Belfast, Northern Ireland, United Kingdom", United Kingdom,Blue,Women's Strawweight,FEMALE,3,1,1,0,Switch,160.02,162.56,115,1,1,0,Orthodox,160.02,165.1,115,32,25,0,0,0,0,0.0,-2.54,7,neither
2001,Justin Ledet,Mark Godbeer,11/19/2016,"Belfast, Northern Ireland, United Kingdom", United Kingdom,Red,Heavyweight,MALE,3,0,0,0,Orthodox,193.04,195.58,240,0,3,1,Orthodox,193.04,203.2,205,28,32,0,-1,-1,0,0.0,-7.62,-4,neither
2002,Zak Cummings,Alexander Yakovlev,11/19/2016,"Belfast, Northern Ireland, United Kingdom", United Kingdom,Red,Welterweight,MALE,3,3,13,2,Southpaw,190.5,187.96,155,2,13,4,Southpaw,182.88,190.5,185,32,32,0,0,-2,-1,7.62,-2.54,0,neither
2003,Marion Reneau,Milana Dudieva,11/19/2016,"Belfast, Northern Ireland, United Kingdom", United Kingdom,Red,Women's Bantamweight,FEMALE,3,1,4,1,Orthodox,160.02,154.94,135,2,10,2,Orthodox,167.64,172.72,135,39,27,1,0,-1,1,-7.62,-17.78,12,Red
2004,Brett Johns,Kwan Ho Kwak,11/19/2016,"Belfast, Northern Ireland, United Kingdom", United Kingdom,Red,Bantamweight,MALE,3,0,0,0,Switch,165.1,177.8,135,0,0,0,Orthodox,170.18,180.34,135,24,27,0,0,0,0,-5.08,-2.54,-3,neither
2005,Charlie Ward,Abdul Razak Alhassan,11/19/2016,"Belfast, Northern Ireland, United Kingdom", United Kingdom,Blue,Welterweight,MALE,3,0,0,0,Orthodox,177.8,185.42,170,0,0,0,Orthodox,180.34,185.42,170,35,31,0,0,0,0,-2.54,0.0,4,neither
2006,Eddie Alvarez,Conor McGregor,11/12/2016,"New York City, New York, USA", USA,Blue,Lightweight,MALE,5,1,18,8,Southpaw,175.26,187.96,155,1,10,3,Orthodox,175.26,175.26,155,32,28,0,-2,5,0,0.0,12.7,4,Red
2007,Joanna Jedrzejczyk,Karolina Kowalkiewicz,11/12/2016,"New York City, New York, USA", USA,Red,Women's Strawweight,FEMALE,5,0,9,3,Orthodox,160.02,162.56,115,0,21,6,Orthodox,167.64,165.1,125,29,31,0,-3,-3,0,-7.62,-2.54,-2,Red
2008,Chris Weidman,Yoel Romero,11/12/2016,"New York City, New York, USA", USA,Blue,Middleweight,MALE,3,0,19,7,Southpaw,182.88,185.42,185,1,24,9,Orthodox,187.96,198.12,185,32,39,1,7,-2,1,-5.08,-12.7,-7,Red
2009,Miesha Tate,Raquel Pennington,11/12/2016,"New York City, New York, USA", USA,Blue,Women's Bantamweight,FEMALE,3,2,18,5,Orthodox,170.18,170.18,135,3,24,5,Orthodox,167.64,165.1,135,30,28,1,3,0,1,2.54,5.08,2,Red
2010,Frankie Edgar,Jeremy Stephens,11/12/2016,"New York City, New York, USA", USA,Red,Featherweight,MALE,3,11,62,12,Orthodox,172.72,180.34,145,6,74,14,Orthodox,167.64,172.72,145,35,30,1,1,-2,-5,5.08,7.62,5,Red
2011,Khabib Nurmagomedov,Michael Johnson,11/12/2016,"New York City, New York, USA", USA,Red,Lightweight,MALE,3,6,37,9,Southpaw,177.8,185.42,145,0,18,7,Orthodox,177.8,177.8,155,28,30,0,-6,2,-6,0.0,7.62,-2,Red
2012,Rafael Natal,Tim Boetsch,11/12/2016,"New York City, New York, USA", USA,Blue,Middleweight,MALE,3,9,43,10,Orthodox,182.88,187.96,185,6,42,9,Orthodox,182.88,193.04,185,33,35,1,1,1,-3,0.0,-5.08,-2,Red
2013,Vicente Luque,Belal Muhammad,11/12/2016,"New York City, New York, USA", USA,Red,Welterweight,MALE,3,1,6,1,Orthodox,180.34,182.88,170,1,7,3,Orthodox,180.34,190.5,170,24,28,0,-2,-2,0,0.0,-7.62,-4,neither
2014,Jim Miller,Thiago Alves,11/12/2016,"New York City, New York, USA", USA,Red,Catch Weight,MALE,3,7,47,13,Orthodox,175.26,177.8,170,8,56,16,Southpaw,172.72,180.34,155,33,33,-1,-2,-3,1,2.54,-2.54,0,neither
2015,Liz Carmouche,Katlyn Chookagian,11/12/2016,"New York City, New York, USA", USA,Red,Women's Bantamweight,FEMALE,3,0,3,1,Orthodox,175.26,172.72,125,3,12,2,Orthodox,167.64,167.64,125,32,27,0,0,-1,3,7.62,5.08,5,Red
2016,Rafael Dos Anjos,Tony Ferguson,11/5/2016,"Mexico City, Distrito Federal, Mexico", Mexico,Blue,Lightweight,MALE,5,1,23,11,Orthodox,180.34,193.04,155,6,50,14,Southpaw,172.72,177.8,170,32,32,1,8,-3,5,7.62,15.24,0,Red
2017,Diego Sanchez,Marcin Held,11/5/2016,"Mexico City, Distrito Federal, Mexico", Mexico,Red,Lightweight,MALE,3,0,0,0,Orthodox,175.26,180.34,155,9,65,15,Southpaw,177.8,182.88,170,34,24,1,0,-15,9,-2.54,-2.54,10,neither
2018,Ricardo Lamas,Charles Oliveira,11/5/2016,"Mexico City, Distrito Federal, Mexico", Mexico,Red,Featherweight,MALE,3,7,31,9,Orthodox,177.8,187.96,155,3,24,7,Orthodox,172.72,180.34,145,34,27,0,0,2,-4,5.08,7.62,7,Red
2019,Martin Bravo,Claudio Puelles,11/5/2016,"Mexico City, Distrito Federal, Mexico", Mexico,Red,Lightweight,MALE,4,0,0,0,Southpaw,180.34,182.88,155,0,0,0,Southpaw,172.72,180.34,145,23,20,0,0,0,0,7.62,2.54,3,neither
2020,Beneil Dariush,Rashid Magomedov,11/5/2016,"Mexico City, Distrito Federal, Mexico", Mexico,Red,Lightweight,MALE,3,0,12,4,Orthodox,175.26,177.8,155,2,18,7,Southpaw,177.8,182.88,155,27,31,0,3,-3,2,-2.54,-5.08,-4,Red
2021,Alexa Grasso,Heather Jo Clark,11/5/2016,"Mexico City, Distrito Federal, Mexico", Mexico,Red,Women's Strawweight,FEMALE,3,1,6,1,Orthodox,167.64,162.56,115,0,0,0,Orthodox,165.1,167.64,115,23,36,-1,0,1,-1,2.54,-5.08,-13,neither
2022,Erik Perez,Felipe Arantes,11/5/2016,"Mexico City, Distrito Federal, Mexico", Mexico,Red,Bantamweight,MALE,3,4,22,5,Orthodox,172.72,185.42,135,2,17,6,Orthodox,172.72,172.72,135,26,28,0,0,-1,-2,0.0,12.7,-2,neither
2023,Marco Beltran,Joe Soto,11/5/2016,"Mexico City, Distrito Federal, Mexico", Mexico,Blue,Catch Weight,MALE,3,3,12,1,Orthodox,167.64,165.1,135,0,8,3,Orthodox,172.72,175.26,125,30,29,0,-2,-2,-3,-5.08,-10.16,1,neither
2024,Erick Montano,Max Griffin,11/5/2016,"Mexico City, Distrito Federal, Mexico", Mexico,Blue,Welterweight,MALE,3,1,3,0,Orthodox,180.34,193.04,170,1,6,1,Orthodox,182.88,185.42,170,30,30,0,0,-1,0,-2.54,7.62,0,neither
2025,Henry Briones,Douglas Silva de Andrade,11/5/2016,"Mexico City, Distrito Federal, Mexico", Mexico,Blue,Bantamweight,MALE,3,1,6,1,Orthodox,170.18,172.72,135,1,5,1,Orthodox,172.72,175.26,135,36,31,1,1,0,0,-2.54,-2.54,5,neither
2026,Sam Alvey,Alex Nicholson,11/5/2016,"Mexico City, Distrito Federal, Mexico", Mexico,Red,Middleweight,MALE,3,1,3,1,Orthodox,193.04,205.74,185,3,13,5,Southpaw,187.96,190.5,205,30,26,0,-1,-4,2,5.08,15.24,4,neither
2027,Polo Reyes,Jason Novelli,11/5/2016,"Mexico City, Distrito Federal, Mexico", Mexico,Red,Lightweight,MALE,3,1,2,0,Orthodox,182.88,190.5,155,0,4,2,Orthodox,180.34,180.34,155,31,37,-1,-2,-2,-1,2.54,10.16,-6,neither
2028,Enrique Barzola,Chris Avila,11/5/2016,"Mexico City, Distrito Federal, Mexico", Mexico,Red,Featherweight,MALE,3,1,3,0,Orthodox,177.8,182.88,145,1,6,1,Switch,170.18,177.8,145,27,23,0,0,-1,0,7.62,5.08,4,neither
2029,Michael Bisping,Dan Henderson,10/8/2016,"Manchester, England, United Kingdom", United Kingdom,Red,Middleweight,MALE,5,8,42,9,Orthodox,180.34,187.96,185,7,70,19,Orthodox,185.42,190.5,185,37,46,0,-3,-10,-1,-5.08,-2.54,-9,Red
2030,Vitor Belfort,Gegard Mousasi,10/8/2016,"Manchester, England, United Kingdom", United Kingdom,Blue,Middleweight,MALE,3,3,22,6,Orthodox,187.96,193.04,185,8,32,14,Southpaw,182.88,187.96,185,39,31,1,2,-8,5,5.08,5.08,8,Red
2031,Ovince Saint Preux,Jimi Manuwa,10/8/2016,"Manchester, England, United Kingdom", United Kingdom,Blue,Light Heavyweight,MALE,3,2,12,4,Orthodox,185.42,200.66,205,3,25,7,Southpaw,190.5,203.2,205,33,36,0,0,-3,1,-5.08,-2.54,-3,Red
2032,Stefan Struve,Daniel Omielanczuk,10/8/2016,"Manchester, England, United Kingdom", United Kingdom,Red,Heavyweight,MALE,3,2,16,4,Southpaw,182.88,187.96,247,6,30,11,Orthodox,210.82,213.36,265,28,34,0,2,-7,4,-27.94,-25.4,-6,Red
2033,Mirsad Bektic,Russell Doane,10/8/2016,"Manchester, England, United Kingdom", United Kingdom,Red,Featherweight,MALE,3,3,12,2,Orthodox,170.18,177.8,135,0,8,3,Orthodox,172.72,177.8,145,25,30,-3,-3,-1,-3,-2.54,0.0,-5,Red
2034,Brad Pickett,Iuri Alcantara,10/8/2016,"Manchester, England, United Kingdom", United Kingdom,Blue,Bantamweight,MALE,3,5,30,7,Southpaw,175.26,180.34,135,6,26,5,Orthodox,167.64,172.72,135,38,36,-1,-1,2,1,7.62,7.62,2,neither
2035,Davey Grant,Damian Stasiak,10/8/2016,"Manchester, England, United Kingdom", United Kingdom,Blue,Bantamweight,MALE,3,1,4,1,Orthodox,165.1,177.8,135,1,5,1,Orthodox,172.72,175.26,135,30,26,0,0,0,0,-7.62,2.54,4,neither
2036,Leon Edwards,Albert Tumenov,10/8/2016,"Manchester, England, United Kingdom", United Kingdom,Red,Welterweight,MALE,3,2,14,5,Orthodox,180.34,185.42,170,2,13,3,Southpaw,182.88,187.96,170,25,24,-1,-1,2,0,-2.54,-2.54,1,Blue
2037,Lukasz Sajewski,Marc Diakiese,10/8/2016,"Manchester, England, United Kingdom", United Kingdom,Blue,Lightweight,MALE,3,0,0,0,Orthodox,177.8,185.42,155,2,4,0,Orthodox,172.72,180.34,155,25,23,2,0,0,2,5.08,5.08,2,neither
2038,Danny Roberts,Mike Perry,10/8/2016,"Manchester, England, United Kingdom", United Kingdom,Blue,Welterweight,MALE,3,0,1,1,Orthodox,177.8,180.34,170,0,4,2,Southpaw,185.42,187.96,170,29,25,0,-1,-1,0,-7.62,-7.62,4,neither
2039,Leonardo Santos,Adriano Martins,10/8/2016,"Manchester, England, United Kingdom", United Kingdom,Red,Lightweight,MALE,3,1,8,4,Southpaw,177.8,182.88,155,1,11,4,Orthodox,182.88,190.5,155,36,33,0,0,0,0,-5.08,-7.62,3,neither
2040,John Lineker,John Dodson,10/1/2016,"Portland, Oregon, USA", USA,Red,Bantamweight,MALE,5,2,23,7,Orthodox,160.02,167.64,135,2,24,9,Orthodox,160.02,170.18,135,26,32,0,-4,-2,0,0.0,-2.54,-6,Red
2041,Will Brooks,Alex Oliveira,10/1/2016,"Portland, Oregon, USA", USA,Blue,Lightweight,MALE,3,2,14,4,Orthodox,180.34,193.04,170,0,3,1,Orthodox,177.8,182.88,155,29,28,0,0,3,-2,2.54,10.16,1,Red
2042,Joshua Burkman,Zak Ottow,10/1/2016,"Portland, Oregon, USA", USA,Blue,Welterweight,MALE,3,0,0,0,Orthodox,180.34,182.88,170,9,39,6,Orthodox,177.8,182.88,170,36,29,1,0,-6,9,2.54,0.0,7,neither
2043,Louis Smolka,Brandon Moreno,10/1/2016,"Portland, Oregon, USA", USA,Blue,Flyweight,MALE,3,0,0,0,Orthodox,170.18,177.8,125,1,16,5,Orthodox,175.26,172.72,135,25,22,0,-4,-5,1,-5.08,5.08,3,Red
2044,Henrique da Silva,Joachim Christensen,10/1/2016,"Portland, Oregon, USA", USA,Red,Light Heavyweight,MALE,3,0,0,0,Orthodox,190.5,193.04,205,0,2,1,Orthodox,190.5,193.04,205,27,37,0,-1,-1,0,0.0,0.0,-10,neither
2045,Hacran Dias,Andre Fili,10/1/2016,"Portland, Oregon, USA", USA,Blue,Featherweight,MALE,3,3,12,3,Orthodox,180.34,187.96,145,3,18,3,Orthodox,172.72,175.26,155,32,26,0,0,0,0,7.62,12.7,6,Red
2046,Shamil Abdurakhimov,Walt Harris,10/1/2016,"Portland, Oregon, USA", USA,Red,Heavyweight,MALE,3,3,7,1,Southpaw,195.58,195.58,250,1,4,1,Orthodox,190.5,193.04,235,35,33,0,0,0,-2,5.08,2.54,2,neither
2047,Keita Nakamura,Elizeu Zaleski dos Santos,10/1/2016,"Portland, Oregon, USA", USA,Blue,Welterweight,MALE,3,1,6,1,Orthodox,180.34,185.42,170,4,17,2,Southpaw,180.34,185.42,170,32,29,0,0,-1,3,0.0,0.0,3,neither
2048,Nate Marquardt,Tamdan McCrory,10/1/2016,"Portland, Oregon, USA", USA,Red,Middleweight,MALE,3,4,16,4,Switch,193.04,198.12,185,9,43,12,Orthodox,182.88,187.96,185,37,29,0,0,-8,5,10.16,10.16,8,neither
2049,Jonathan Wilson,Ion Cutelaba,10/1/2016,"Portland, Oregon, USA", USA,Blue,Light Heavyweight,MALE,3,1,3,0,Southpaw,185.42,190.5,205,1,3,1,Southpaw,187.96,190.5,205,29,22,0,0,-1,0,-2.54,0.0,7,neither
2050,Cody East,Curtis Blaydes,10/1/2016,"Portland, Oregon, USA", USA,Blue,Heavyweight,MALE,3,1,2,0,Orthodox,193.04,203.2,265,1,1,0,Orthodox,190.5,187.96,245,28,25,0,0,0,0,2.54,15.24,3,neither
2051,Kelly Faszholz,Ketlen Vieira,10/1/2016,"Portland, Oregon, USA", USA,Blue,Women's Bantamweight,FEMALE,3,0,0,0,Orthodox,172.72,172.72,135,1,3,0,Orthodox,172.72,170.18,135,31,25,1,0,0,1,0.0,2.54,6,neither
2052,Cris Cyborg,Lina Lansberg,9/24/2016,"Brasilia, Distrito Federal, Brazil", Brazil,Red,Catch Weight,MALE,5,0,0,0,Orthodox,170.18,165.1,135,0,1,1,Orthodox,172.72,172.72,145,31,34,0,-1,-1,0,-2.54,-7.62,-3,neither
2053,Renan Barao,Phillipe Nover,9/24/2016,"Brasilia, Distrito Federal, Brazil", Brazil,Red,Featherweight,MALE,3,4,13,1,Orthodox,175.26,182.88,145,3,34,8,Orthodox,167.64,177.8,135,29,32,1,0,-7,-1,7.62,5.08,-3,neither
2054,Roy Nelson,Antonio Silva,9/24/2016,"Brasilia, Distrito Federal, Brazil", Brazil,Red,Heavyweight,MALE,3,7,17,3,Orthodox,193.04,203.2,264,9,40,8,Orthodox,182.88,182.88,263,40,37,-1,0,-5,2,10.16,20.32,3,Red
2055,Francisco Trinaldo,Paul Felder,9/24/2016,"Brasilia, Distrito Federal, Brazil", Brazil,Red,Lightweight,MALE,3,2,17,4,Orthodox,180.34,177.8,155,3,31,10,Southpaw,175.26,177.8,155,38,32,0,-4,-6,1,5.08,0.0,6,neither
2056,Thiago Santos,Eric Spicely,9/24/2016,"Brasilia, Distrito Federal, Brazil", Brazil,Blue,Middleweight,MALE,3,1,1,0,Orthodox,185.42,185.42,185,3,12,5,Orthodox,187.96,193.04,205,32,29,0,0,-5,2,-2.54,-7.62,3,Red
2057,Godofredo Pepey,Mike de la Torre,9/24/2016,"Brasilia, Distrito Federal, Brazil", Brazil,Red,Featherweight,MALE,3,3,9,2,Orthodox,180.34,180.34,145,4,14,4,Orthodox,170.18,185.42,145,29,30,1,1,-2,1,10.16,-5.08,-1,neither
2058,Gilbert Burns,Michel Prazeres,9/24/2016,"Brasilia, Distrito Federal, Brazil", Brazil,Blue,Lightweight,MALE,3,2,18,4,Orthodox,167.64,170.18,170,1,11,4,Orthodox,177.8,180.34,155,30,35,0,1,0,-1,-10.16,-10.16,-5,neither
2059,Rani Yahya,Michinori Tanaka,9/24/2016,"Brasilia, Distrito Federal, Brazil", Brazil,Red,Bantamweight,MALE,3,1,9,2,Orthodox,165.1,170.18,135,3,25,7,Orthodox,167.64,170.18,135,32,25,0,-2,-5,2,-2.54,0.0,7,neither
2060,Jussier Formiga,Dustin Ortiz,9/24/2016,"Brasilia, Distrito Federal, Brazil", Brazil,Red,Flyweight,MALE,3,3,21,4,Orthodox,165.1,165.1,125,3,16,4,Orthodox,165.1,170.18,125,31,27,0,0,0,0,0.0,-5.08,4,Red
2061,Erick Silva,Luan Chagas,9/24/2016,"Brasilia, Distrito Federal, Brazil", Brazil,Red,Welterweight,MALE,3,1,3,0,Orthodox,182.88,190.5,170,6,20,6,Orthodox,182.88,187.96,170,32,23,1,0,-6,5,0.0,2.54,9,neither
2062,Alan Patrick,Stevie Ray,9/24/2016,"Brasilia, Distrito Federal, Brazil", Brazil,Red,Lightweight,MALE,3,0,6,3,Southpaw,177.8,177.8,155,1,9,3,Southpaw,180.34,187.96,155,33,26,0,2,0,1,-2.54,-10.16,7,neither
2063,Vicente Luque,Hector Urbina,9/24/2016,"Brasilia, Distrito Federal, Brazil", Brazil,Red,Welterweight,MALE,3,1,4,1,Orthodox,180.34,185.42,170,1,6,2,Orthodox,180.34,190.5,170,24,29,-1,-2,-1,0,0.0,-5.08,-5,neither
2064,Glaico Franca,Gregor Gillespie,9/24/2016,"Brasilia, Distrito Federal, Brazil", Brazil,Blue,Lightweight,MALE,3,0,0,0,Orthodox,170.18,180.34,155,1,6,1,Orthodox,182.88,195.58,155,25,29,1,0,-1,1,-12.7,-15.24,-4,neither
2065,Dustin Poirier,Michael Johnson,9/17/2016,"Hidalgo, Texas, USA", USA,Blue,Lightweight,MALE,5,6,36,8,Southpaw,177.8,185.42,145,3,30,12,Southpaw,175.26,182.88,155,27,30,-2,-4,-4,-3,2.54,2.54,-3,Red
2066,Uriah Hall,Derek Brunson,9/17/2016,"Hidalgo, Texas, USA", USA,Blue,Middleweight,MALE,3,1,13,6,Southpaw,185.42,195.58,185,4,20,5,Orthodox,182.88,200.66,185,32,32,1,4,1,3,2.54,-5.08,0,Red
2067,Evan Dunham,Rick Glenn,9/17/2016,"Hidalgo, Texas, USA", USA,Red,Lightweight,MALE,3,0,0,0,Southpaw,182.88,177.8,145,6,40,10,Southpaw,177.8,177.8,155,34,27,0,-3,-10,6,5.08,0.0,7,Red
2068,Roan Carneiro,Kenny Robertson,9/17/2016,"Hidalgo, Texas, USA", USA,Red,Welterweight,MALE,3,4,17,4,Orthodox,177.8,187.96,170,4,14,3,Orthodox,180.34,187.96,170,38,32,0,0,1,0,-2.54,0.0,6,neither
2069,Chris Wade,Islam Makhachev,9/17/2016,"Hidalgo, Texas, USA", USA,Blue,Lightweight,MALE,3,1,3,1,Orthodox,177.8,177.8,155,1,11,4,Orthodox,177.8,177.8,155,28,24,0,0,-3,0,0.0,0.0,4,neither
2070,Chas Skelly,Maximo Blanco,9/17/2016,"Hidalgo, Texas, USA", USA,Red,Featherweight,MALE,3,4,18,4,Orthodox,172.72,180.34,145,2,14,4,Orthodox,180.34,182.88,145,31,32,0,0,0,-2,-7.62,-2.54,-1,neither
2071,Gabriel Benitez,Sam Sicilia,9/17/2016,"Hidalgo, Texas, USA", USA,Red,Featherweight,MALE,3,5,20,5,Orthodox,172.72,170.18,145,1,7,2,Southpaw,172.72,180.34,145,28,30,0,0,3,-4,0.0,-10.16,-2,neither
2072,Augusto Montano,Belal Muhammad,9/17/2016,"Hidalgo, Texas, USA", USA,Blue,Welterweight,MALE,3,1,3,0,Orthodox,180.34,182.88,170,1,4,1,Orthodox,185.42,185.42,170,31,28,0,0,-1,0,-5.08,-2.54,3,neither
2073,Antonio Carlos Junior,Leonardo Augusto Leleco,9/17/2016,"Hidalgo, Texas, USA", USA,Red,Middleweight,MALE,3,1,3,0,Orthodox,182.88,185.42,185,3,13,2,Orthodox,187.96,200.66,185,26,34,1,0,-2,2,-5.08,-15.24,-8,neither
2074,Jose Quinonez,Joey Gomez,9/17/2016,"Hidalgo, Texas, USA", USA,Red,Bantamweight,MALE,3,1,2,0,Orthodox,177.8,180.34,155,1,4,1,Orthodox,172.72,175.26,135,26,27,-1,-1,-1,0,5.08,5.08,-1,neither
2075,Erick Montano,Randy Brown,9/17/2016,"Hidalgo, Texas, USA", USA,Blue,Welterweight,MALE,3,1,5,1,Orthodox,190.5,198.12,170,0,3,1,Orthodox,182.88,185.42,170,30,26,-1,-1,0,-1,7.62,12.7,4,neither
2076,Stipe Miocic,Alistair Overeem,9/10/2016,"Cleveland, Ohio, USA", USA,Red,Heavyweight,MALE,5,3,17,6,Orthodox,193.04,203.2,265,2,27,9,Orthodox,193.04,203.2,240,34,36,0,1,-3,-1,0.0,0.0,-2,Red
