,Red,R_Reach_cms,Blue,B_Reach_cms,reach_dif,ganador,mejor_alcance
1035,Omari Akhmedov,185.42,Zak Cummings,190.5,5.08,Omari Akhmedov,largo
1036,Don Madge,182.88,Fares Ziam,190.5,7.62,Don Madge,largo
1037,Glover Teixeira,193.04,Nikita Krylov,195.58,2.54,Glover Teixeira,largo
1038,Chas Skelly,182.88,Jordan Griffin,185.42,2.54,Chas Skelly,largo
1039,Louis Smolka,172.72,Ryan MacDonald,180.34,7.62,Louis Smolka,largo
1040,Carla Esparza,160.02,Alexa Grasso,167.64,7.62,Carla Esparza,largo
1041,Caludio Puelles,182.88,Marcos Mariano,193.04,10.16,Caludio Puelles,largo
1042,Mark Madsen,182.88,Danilo Belluardo,187.96,5.08,Mark Madsen,largo
1043,Ion Cutelaba,190.5,Khalil Rountree Jr.,193.04,2.54,Ion Cutelaba,largo
1044,Nicolas Dalby,187.96,Alex Oliveira,193.04,5.08,Nicolas Dalby,largo
1045,Callan Potter,182.88,Maki Pitolo,190.5,7.62,Callan Potter,largo
1046,Brad Riddell,180.34,Jamie Mullarkey,187.96,7.62,Brad Riddell,largo
1047,Justine Kish,162.56,Luci Pudilova,170.18,7.62,Justine Kish,largo
1048,Matt Frevola,180.34,Luis Pena,185.42,5.08,Matt Frevola,largo
1049,Eryk Anders,190.5,Gerald Meerschaert,195.58,5.08,Eryk Anders,largo
1050,Mike Davis,182.88,Thomas Gifford,190.5,7.62,Mike Davis,largo
1051,Marlon Vera,177.8,Andre Ewell,190.5,12.7,Marlon Vera,largo
1052,Dominick Reyes,195.58,Chris Weidman,198.12,2.54,Dominick Reyes,largo
1053,Charles Rosa,175.26,Manny Bermudez,180.34,5.08,Charles Rosa,largo
1054,Molly McCann,157.48,Diana Belbita,172.72,15.24,Molly McCann,largo
1055,Brendan Allen,190.5,Kevin Holland,205.74,15.24,Brendan Allen,largo
1056,Demian Maia,182.88,Ben Askren,185.42,2.54,Demian Maia,largo
1057,Muslim Salikhov,177.8,Laureano Staropoli,180.34,2.54,Muslim Salikhov,largo
1058,Randa Markos,160.02,Ashley Yoder,175.26,15.24,Randa Markos,largo
1059,Loma Lookboonmee,154.94,Alexandra Albu,160.02,5.08,Loma Lookboonmee,largo
1060,Drew Dober,177.8,Nasrat Haqparast,182.88,5.08,Drew Dober,largo
1061,Aleksa Camur,187.96,Justin Ledet,203.2,15.24,Aleksa Camur,largo
1062,Brian Kelleher,167.64,Ode Obsourne,185.42,17.78,Brian Kelleher,largo
1063,Jorge Masvidal,187.96,Nate Diaz,193.04,5.08,Jorge Masvidal,largo
1064,Corey Anderson,200.66,Johnny Walker,208.28,7.62,Corey Anderson,largo
1065,Lyman Good,187.96,Chance Rencountre,190.5,2.54,Lyman Good,largo
1066,Magomed Ankalaev,190.5,Dalcha Lungiambula,193.04,2.54,Magomed Ankalaev,largo
1067,Rustam Khabilov,185.42,Sergey Khandozhko,187.96,2.54,Rustam Khabilov,largo
1068,Francisco Trinaldo,177.8,Bobby Green,180.34,2.54,Francisco Trinaldo,largo
1069,Douglas Silva de Andrade,172.72,Renan Barao,177.8,5.08,Douglas Silva de Andrade,largo
1070,Volkan Oezdemir,190.5,Aleksandar Rakic,198.12,7.62,Volkan Oezdemir,largo
1071,Da Un Jung,199.39,Mike Rodriguez,208.28,8.89,Da Un Jung,largo
1072, Jun Yong Park,185.42,Marc-Andre Barriault,187.96,2.54, Jun Yong Park,largo
1073,Alexandre Pantoja,171.45,Matt Schnell,177.8,6.35,Alexandre Pantoja,largo
1074,Raoni Barcelos,170.18,Said Nurmagomedov,177.8,7.62,Raoni Barcelos,largo
1075,Heili Alateng,168.91,Ryan Benoit,173.99,5.08,Heili Alateng,largo
1076,Amanda Nunes,175.26,Germaine de Randamie,180.34,5.08,Amanda Nunes,largo
1077,Marlon Moraes,170.18,Jose Aldo,177.8,7.62,Marlon Moraes,largo
1078,Matt Brown,190.5,Ben Saunders,196.85,6.35,Matt Brown,largo
1079,Jessica Eye,167.64,Viviane Araujo,172.72,5.08,Jessica Eye,largo
1080,Punahele Soriano,184.15,Oskar Piechota,193.04,8.89,Punahele Soriano,largo
1081,Aspen Ladd,167.64,Yana Kunitskaya,173.99,6.35,Aspen Ladd,largo
1082,Billy Quarantillo,177.8,Jacob Kilburn,182.88,5.08,Billy Quarantillo,largo
1083,Mallory Martin,160.02,Virna Jandiroba,162.56,2.54,Mallory Martin,largo
1084,Henry Cejudo,162.56,Marlon Moraes,170.18,7.62,Henry Cejudo,largo
1085,Yan Xiaonan,160.02,Angela Hill,162.56,2.54,Yan Xiaonan,largo
1086,Daniel Teymur,175.26,Sung Bin Jo,182.88,7.62,Daniel Teymur,largo
1087,Rafael Dos Anjos,177.8,Kevin Lee,195.58,17.78,Rafael Dos Anjos,largo
1088,Davi Ramos,177.8,Austin Hubbard,180.34,2.54,Davi Ramos,largo
1089,Aspen Ladd,167.64,Sijara Eubanks,170.18,2.54,Aspen Ladd,largo
1090,Julio Arce,177.8,Julian Erosa,187.96,10.16,Julio Arce,largo
1091,Walt Harris,195.58,Serghei Spivac,198.12,2.54,Walt Harris,largo
1092,Arjan Bhullar,190.5,Juan Adams,203.2,12.7,Arjan Bhullar,largo
1093,Roosevelt Roberts,185.42,Thomas Gifford,190.5,5.08,Roosevelt Roberts,largo
1094,Carla Esparza,160.02,Virna Jandiroba,162.56,2.54,Carla Esparza,largo
1095,Gilbert Burns,180.34,Mike Davis,182.88,2.54,Gilbert Burns,largo
1096,Jim Miller,180.34,Jason Gonzalez,187.96,7.62,Jim Miller,largo
1097,Islam Makhachev,177.8,Arman Tsarukyan,182.88,5.08,Islam Makhachev,largo
1098,Movsar Evloev,182.88,Seungwoo Choi,187.96,5.08,Movsar Evloev,largo
1099,Brandon Davis,182.88,Randy Costa,185.42,2.54,Brandon Davis,largo
1100,Josh Emmett,177.8,Michael Johnson,185.42,7.62,Josh Emmett,largo
1101,Sodiq Yusuff,180.34,Sheymon Moraes,182.88,2.54,Sodiq Yusuff,largo
1102,John Makdessi,172.72,Jesus Pinedo,187.96,15.24,John Makdessi,largo
1103,Jussier Formiga,170.18,Deiveson Figueiredo,172.72,2.54,Jussier Formiga,largo
1104,Maycee Barber,165.1,JJ Aldrich,170.18,5.08,Maycee Barber,largo
1105,Bryce Mitchell,177.8,Bobby Moffett,187.96,10.16,Bryce Mitchell,largo
1106,Randa Markos,160.02,Angela Hill,162.56,2.54,Randa Markos,largo
1107,Jack Marshman,185.42,John Phillips,190.5,5.08,Jack Marshman,largo
1108,Arnold Allen,177.8,Jordan Rinaldi,182.88,5.08,Arnold Allen,largo
1109,Molly McCann,157.48,Priscila Cachoeira,165.1,7.62,Molly McCann,largo
1110,Elizeu Zaleski dos Santos,185.42,Curtis Millender,193.04,7.62,Elizeu Zaleski dos Santos,largo
1111,Blagoy Ivanov,185.42,Ben Rothwell,198.12,12.7,Blagoy Ivanov,largo
1112,Grant Dawson,182.88,Julian Erosa,187.96,5.08,Grant Dawson,largo
1113,Alex White,180.34,Dan Moret,185.42,5.08,Alex White,largo
1114,Cody Stamann,162.56,Alejandro Perez,170.18,7.62,Cody Stamann,largo
1115,Diego Sanchez,182.88,Mickey Gall,187.96,5.08,Diego Sanchez,largo
1116,Liz Carmouche,167.64,Lucie Pudilova,170.18,2.54,Liz Carmouche,largo
1117,Damir Hadzovic,177.8,Polo Reyes,180.34,2.54,Damir Hadzovic,largo
1118,Damir Ismagulov,177.8,Joel Alvarez,195.58,17.78,Damir Ismagulov,largo
1119,Lando Vannata,180.34,Marcos Mariano,193.04,12.7,Lando Vannata,largo
1120,Jimmy Crute,187.96,Sam Alvey,190.5,2.54,Jimmy Crute,largo
1121,Jose Aldo,177.8,Renato Moicano,182.88,5.08,Jose Aldo,largo
1122,Demian Maia,182.88,Lyman Good,187.96,5.08,Demian Maia,largo
1123,Livinha Souza,160.02,Sarah Frota,175.26,15.24,Livinha Souza,largo
1124,Markus Perez,185.42,Anthony Hernandez,190.5,5.08,Markus Perez,largo
1125,Thiago Alves,177.8,Max Griffin,193.04,15.24,Thiago Alves,largo
1126,Henry Cejudo,162.56,TJ Dillashaw,170.18,7.62,Henry Cejudo,largo
1127,Gregor Gillespie,180.34,Yancy Medeiros,190.5,10.16,Gregor Gillespie,largo
1128,Joanne Calderwood,165.1,Ariane Lipski,170.18,5.08,Joanne Calderwood,largo
1129,Cory Sandhagen,177.8,Mario Bautista,182.88,5.08,Cory Sandhagen,largo
1130,Dennis Bermudez,167.64,Te Edwards,182.88,15.24,Dennis Bermudez,largo
1131,Nathaniel Wood,175.26,Andre Ewell,190.5,15.24,Nathaniel Wood,largo
1132,Zak Ottow,182.88,Dwight Grant,193.04,10.16,Zak Ottow,largo
1133,Dan Ige,180.34,Jordan Griffin,182.88,2.54,Dan Ige,largo
1134,Brad Katona,162.56,Matthew Lopez,175.26,12.7,Brad Katona,largo
1135,Mauricio Rua,193.04,Tyson Pedro,200.66,7.62,Mauricio Rua,largo
1136,Jimmy Crute,187.96,Paul Craig,193.04,5.08,Jimmy Crute,largo
1137,Pedro Munhoz,165.1,Bryan Caraway,172.72,7.62,Pedro Munhoz,largo
