,Red,R_Reach_cms,Blue,B_Reach_cms,reach_dif,ganador,mejor_alcance
317,Wu Yanan,167.64,Gina Mazany,172.72,5.08,Gina Mazany,largo
318,Damien Brown,172.72,Frank Camacho,185.42,12.7,Frank Camacho,largo
319,Alex Chambers,160.02,Nadia Kassem,167.64,7.62,Nadia Kassem,largo
320,Anthony Hamilton,193.04,Adam Wieczorek,205.74,12.7,Adam Wieczorek,largo
321,Junior Albini,187.96,Andrei Arlovski,195.58,7.62,Andrei Arlovski,largo
322,Nate Marquardt,187.96,Cezar Ferreira,198.12,10.16,Cezar Ferreira,largo
323,John Dodson,167.64,Marlon Moraes,170.18,2.54,Marlon Moraes,largo
324,Court McGee,190.5,Sean Strickland,193.04,2.54,Sean Strickland,largo
325,Michael Bisping,190.5,Georges St-Pierre,193.04,2.54,Georges St-Pierre,largo
326,Cody Garbrandt,165.1,TJ Dillashaw,170.18,5.08,TJ Dillashaw,largo
327,Johny Hendricks,175.26,Paulo Costa,182.88,7.62,Paulo Costa,largo
328,Aiemann Zahabi,172.72,Ricardo Ramos,182.88,10.16,Ricardo Ramos,largo
329,Donald Cerrone,185.42,Darren Till,187.96,2.54,Darren Till,largo
330,Sam Alvey,190.5,Ramazan Emeev,193.04,2.54,Ramazan Emeev,largo
331,Artem Lobov,165.1,Andre Fili,187.96,22.86,Andre Fili,largo
332,Lina Lansberg,165.1,Aspen Ladd,167.64,2.54,Aspen Ladd,largo
333,Hector Lombard,180.34,Anthony Smith,193.04,12.7,Anthony Smith,largo
334,Anthony Hamilton,193.04,Daniel Spitz,208.28,15.24,Daniel Spitz,largo
335,Krzysztof Jotko,195.58,Uriah Hall,200.66,5.08,Uriah Hall,largo
336,Sara McMann,167.64,Ketlen Vieira,172.72,5.08,Ketlen Vieira,largo
337,Gavin Tucker,167.64,Rick Glenn,177.8,10.16,Rick Glenn,largo
338,Luis Henrique,187.96,Arjan Bhullar,190.5,2.54,Arjan Bhullar,largo
339,Francimar Barroso,190.5,Aleksandar Rakic,198.12,7.62,Aleksandar Rakic,largo
340,Mike Santiago,175.26,Zabit Magomedsharipov,185.42,10.16,Zabit Magomedsharipov,largo
341,Bojan Mihajlovic,185.42,Abdul-Kerim Edilov,198.12,12.7,Abdul-Kerim Edilov,largo
342,Randa Markos,160.02,Alexa Grasso,167.64,7.62,Alexa Grasso,largo
343,Alan Jouban,185.42,Niko Price,193.04,7.62,Niko Price,largo
344,Martin Bravo,180.34,Humberto Bandenay,182.0,1.66,Humberto Bandenay,largo
345,Bradley Scott,193.04,Jack Hermansson,195.58,2.54,Jack Hermansson,largo
346,Dennis Bermudez,167.64,Darren Elkins,180.34,12.7,Darren Elkins,largo
347,Ryan LaFlare,187.96,Alex Oliveira,193.04,5.08,Alex Oliveira,largo
348,Damian Grabowski,190.5,Chase Sherman,198.12,7.62,Chase Sherman,largo
349,Kyle Bochniak,177.8,Jeremy Kennedy,180.34,2.54,Jeremy Kennedy,largo
350,Brian Kelleher,167.64,Marlon Vera,177.8,10.16,Marlon Vera,largo
351,Gunnar Nelson,182.88,Santiago Ponzinibbio,185.42,2.54,Santiago Ponzinibbio,largo
352,James Mulheron,185.42,Justin Willis,198.12,12.7,Justin Willis,largo
353,Fabricio Werdum,195.58,Alistair Overeem,203.2,7.62,Alistair Overeem,largo
354,Daniel Omielanczuk,187.96,Curtis Blaydes,203.2,15.24,Curtis Blaydes,largo
355,Travis Browne,200.66,Aleksei Oleinik,203.2,2.54,Aleksei Oleinik,largo
356,Michael Chiesa,190.5,Kevin Lee,195.58,5.08,Kevin Lee,largo
357,Andrei Arlovski,195.58,Marcin Tybura,198.12,2.54,Marcin Tybura,largo
358,Takanori Gomi,177.8,Jon Tuck,185.42,7.62,Jon Tuck,largo
359,Cyril Asker,187.96,Walt Harris,195.58,7.62,Walt Harris,largo
360,Justin Scoggins,167.64,Ulka Sasaki,180.34,12.7,Ulka Sasaki,largo
361,Damien Brown,172.72,Vinc Pichel,182.88,10.16,Vinc Pichel,largo
362,Kiichi Kunimoto,180.34,Zak Ottow,182.88,2.54,Zak Ottow,largo
363,Erick Silva,187.96,Yancy Medeiros,190.5,2.54,Yancy Medeiros,largo
364,Nico Musoke,190.5,Bojan Velickovic,193.04,2.54,Bojan Velickovic,largo
365,Krzysztof Jotko,195.58,David Branch,198.12,2.54,David Branch,largo
366,Jessica Aguilar,160.02,Cortney Casey,170.18,10.16,Cortney Casey,largo
367,Dustin Ortiz,165.1,Brandon Moreno,177.8,12.7,Brandon Moreno,largo
368,Jacare Souza,182.88,Robert Whittaker,185.42,2.54,Robert Whittaker,largo
369,Jeremy Stephens,180.34,Renato Moicano,182.88,2.54,Renato Moicano,largo
370,Ashlee Evans-Smith,170.18,Ketlen Vieira,172.72,2.54,Ketlen Vieira,largo
371,Will Brooks,182.88,Charles Oliveira,187.96,5.08,Charles Oliveira,largo
372,Josh Emmett,177.8,Desmond Green,185.42,7.62,Desmond Green,largo
373,Brad Pickett,172.72,Marlon Vera,177.8,5.08,Marlon Vera,largo
374,Darren Stewart,187.96,Francimar Barroso,190.5,2.54,Francimar Barroso,largo
375,Daniel Omielanczuk,187.96,Tim Johnson,195.58,7.62,Tim Johnson,largo
376,Francisco Trinaldo,177.8,Kevin Lee,195.58,17.78,Kevin Lee,largo
377,Rony Jason,177.8,Jeremy Kennedy,180.34,2.54,Jeremy Kennedy,largo
378,Lando Vannata,180.34,David Teymur,185.42,5.08,David Teymur,largo
379,Mirsad Bektic,177.8,Darren Elkins,180.34,2.54,Darren Elkins,largo
380,Jack Marshman,185.42,Thiago Santos,193.04,7.62,Thiago Santos,largo
381,Holly Holm,175.26,Germaine de Randamie,180.34,5.08,Germaine de Randamie,largo
382,Nik Lentz,172.72,Islam Makhachev,177.8,5.08,Islam Makhachev,largo
383,Dennis Bermudez,167.64,Chan Sung Jung,182.88,15.24,Chan Sung Jung,largo
384,Abel Trujillo,177.8,James Vick,193.04,15.24,James Vick,largo
385,Daniel Jolly,190.5,Khalil Rountree Jr.,193.04,2.54,Khalil Rountree Jr.,largo
386,Donald Cerrone,185.42,Jorge Masvidal,187.96,2.54,Jorge Masvidal,largo
387,Andrei Arlovski,195.58,Francis Ngannou,210.82,15.24,Francis Ngannou,largo
388,Nate Marquardt,187.96,Sam Alvey,190.5,2.54,Sam Alvey,largo
389,Henrique da Silva,193.04,Jordan Johnson,200.66,7.62,Jordan Johnson,largo
390,Court McGee,190.5,Ben Saunders,195.58,5.08,Ben Saunders,largo
391,John Moraga,167.64,Sergio Pettis,175.26,7.62,Sergio Pettis,largo
392,Bojan Mihajlovic,185.42,Joachim Christensen,193.04,7.62,Joachim Christensen,largo
393,Johny Hendricks,175.26,Neil Magny,203.2,27.94,Neil Magny,largo
394,Brandon Thatch,187.96,Niko Price,193.04,5.08,Niko Price,largo
395,Sage Northcutt,180.34,Mickey Gall,187.96,7.62,Mickey Gall,largo
396,James Moontasri,180.34,Alex Morono,182.88,2.54,Alex Morono,largo
397,Jordan Mein,185.42,Emil Meek,187.96,2.54,Emil Meek,largo
398,Mitch Gagnon,165.1,Matthew Lopez,175.26,10.16,Matthew Lopez,largo
399,John Makdessi,172.72,Lando Vannata,180.34,7.62,Lando Vannata,largo
400,Jason Saggo,180.34,Rustam Khabilov,185.42,5.08,Rustam Khabilov,largo
401,Zach Makovsky,162.56,Dustin Ortiz,165.1,2.54,Dustin Ortiz,largo
402,Joe Gigliotti,175.26,Gerald Meerschaert,195.58,20.32,Gerald Meerschaert,largo
403,Tiago Trator,177.8,Shane Burgos,190.5,12.7,Shane Burgos,largo
404,Keith Berish,185.42,Ryan Janes,193.04,7.62,Ryan Janes,largo
405,Jake Ellenberger,180.34,Jorge Masvidal,187.96,7.62,Jorge Masvidal,largo
406,Ion Cutelaba,190.5,Jared Cannonier,195.58,5.08,Jared Cannonier,largo
407,Gray Maynard,177.8,Ryan Hall,180.34,2.54,Ryan Hall,largo
408,Elvis Mutapcic,182.88,Anthony Smith,193.04,10.16,Anthony Smith,largo
409,Josh Stansbury,187.96,Devin Clark,190.5,2.54,Devin Clark,largo
410,Yusuke Kasuya,170.18,Alexander Volkanovski,180.34,10.16,Alexander Volkanovski,largo
411,Khalil Rountree Jr.,193.04,Tyson Pedro,200.66,7.62,Tyson Pedro,largo
412,Richard Walsh,185.42,Jonathan Meunier,190.5,5.08,Jonathan Meunier,largo
413,Yao Zhikui,162.56,Jenel Lausa,172.72,10.16,Jenel Lausa,largo
414,Warlley Alves,182.88,Kamaru Usman,193.04,10.16,Kamaru Usman,largo
415,Ross Pearson,175.26,Stevie Ray,177.8,2.54,Stevie Ray,largo
416,Tim Johnson,195.58,Alexander Volkov,203.2,7.62,Alexander Volkov,largo
417,Eddie Alvarez,175.26,Conor McGregor,187.96,12.7,Conor McGregor,largo
418,Miesha Tate,165.1,Raquel Pennington,170.18,5.08,Raquel Pennington,largo
419,Rafael Dos Anjos,177.8,Tony Ferguson,193.04,15.24,Tony Ferguson,largo
420,Erick Montano,185.42,Max Griffin,193.04,7.62,Max Griffin,largo
421,Vitor Belfort,187.96,Gegard Mousasi,193.04,5.08,Gegard Mousasi,largo
422,Brad Pickett,172.72,Iuri Alcantara,180.34,7.62,Iuri Alcantara,largo
423,Davey Grant,175.26,Damian Stasiak,177.8,2.54,Damian Stasiak,largo
424,Lukasz Sajewski,180.34,Marc Diakiese,185.42,5.08,Marc Diakiese,largo
425,Will Brooks,182.88,Alex Oliveira,193.04,10.16,Alex Oliveira,largo
426,Louis Smolka,172.72,Brandon Moreno,177.8,5.08,Brandon Moreno,largo
427,Hacran Dias,175.26,Andre Fili,187.96,12.7,Andre Fili,largo
428,Cody East,187.96,Curtis Blaydes,203.2,15.24,Curtis Blaydes,largo
429,Kelly Faszholz,170.18,Ketlen Vieira,172.72,2.54,Ketlen Vieira,largo
430,Dustin Poirier,182.88,Michael Johnson,185.42,2.54,Michael Johnson,largo
431,Erick Montano,185.42,Randy Brown,198.12,12.7,Randy Brown,largo
432,CM Punk,185.42,Mickey Gall,187.96,2.54,Mickey Gall,largo
433,Urijah Faber,170.18,Jimmie Rivera,172.72,2.54,Jimmie Rivera,largo
434,Andrei Arlovski,195.58,Josh Barnett,198.12,2.54,Josh Barnett,largo
435,Scott Askham,190.5,Jack Hermansson,195.58,5.08,Jack Hermansson,largo
436,Garreth McLellan,182.88,Alessio Di Chirico,187.96,5.08,Alessio Di Chirico,largo
437,Shane Campbell,180.34,Felipe Silva,195.58,15.24,Felipe Silva,largo
438,Rick Story,180.34,Donald Cerrone,185.42,5.08,Donald Cerrone,largo
439,Randa Markos,160.02,Cortney Casey,170.18,10.16,Cortney Casey,largo
440,Viktor Pesta,195.58,Marcin Tybura,198.12,2.54,Marcin Tybura,largo
441,Chase Sherman,198.12,Justin Ledet,203.2,5.08,Justin Ledet,largo
442,Ross Pearson,175.26,Jorge Masvidal,187.96,12.7,Jorge Masvidal,largo
443,Frankie Saenz,167.64,Eddie Wineland,175.26,7.62,Eddie Wineland,largo
444,Lauren Murphy,170.18,Katlyn Chookagian,172.72,2.54,Katlyn Chookagian,largo
445,Eric Spicely,185.42,Sam Alvey,190.5,5.08,Sam Alvey,largo
446,Devin Clark,190.5,Alex Nicholson,205.74,15.24,Alex Nicholson,largo
447,Miesha Tate,165.1,Amanda Nunes,175.26,10.16,Amanda Nunes,largo
448,Cat Zingano,172.72,Julianna Pena,175.26,2.54,Julianna Pena,largo
449,Johny Hendricks,175.26,Kelvin Gastelum,180.34,5.08,Kelvin Gastelum,largo
450,Ross Pearson,175.26,Will Brooks,182.88,7.62,Will Brooks,largo
451,Jake Matthews,185.42,Kevin Lee,195.58,10.16,Kevin Lee,largo
452,Roy Nelson,182.88,Derrick Lewis,200.66,17.78,Derrick Lewis,largo
453,Mike Pyle,187.96,Alberto Mina,195.58,7.62,Alberto Mina,largo
454,Jonathan Wilson,190.5,Henrique da Silva,193.04,2.54,Henrique da Silva,largo
455,Renan Barao,177.8,Jeremy Stephens,180.34,2.54,Jeremy Stephens,largo
456,Tarec Saffiedine,177.8,Rick Story,180.34,2.54,Rick Story,largo
457,Fabricio Werdum,195.58,Stipe Miocic,203.2,7.62,Stipe Miocic,largo
458,Antonio Silva,203.2,Stefan Struve,213.36,10.16,Stefan Struve,largo
459,Anthony Pettis,182.88,Edson Barboza,190.5,7.62,Edson Barboza,largo
460,Efrain Escudero,177.8,Kevin Lee,195.58,17.78,Kevin Lee,largo
461,Beneil Dariush,182.88,Michael Chiesa,190.5,7.62,Michael Chiesa,largo
462,Bethe Correia,162.56,Raquel Pennington,170.18,7.62,Raquel Pennington,largo
463,Igor Pokrajac,193.04,Jan Blachowicz,198.12,5.08,Jan Blachowicz,largo
464,Nicolas Dalby,187.96,Zak Cummings,190.5,2.54,Zak Cummings,largo
465,Ian Entwistle,162.56,Alejandro Perez,170.18,7.62,Alejandro Perez,largo
466,Rob Whiteford,175.26,Lucas Martins,182.88,7.62,Lucas Martins,largo
467,Alessio Di Chirico,187.96,Bojan Velickovic,193.04,5.08,Bojan Velickovic,largo
468,Hector Lombard,180.34,Neil Magny,203.2,22.86,Neil Magny,largo
469,Brendan O'Reilly,175.26,Alan Jouban,185.42,10.16,Alan Jouban,largo
470,Richard Walsh,185.42,Viscardi Andrade,190.5,5.08,Viscardi Andrade,largo
471,Conor McGregor,187.96,Nate Diaz,193.04,5.08,Nate Diaz,largo
472,Mike Wilkinson,172.72,Makwan Amirkhani,182.88,10.16,Makwan Amirkhani,largo
473,Bradley Scott,193.04,Krzysztof Jotko,195.58,2.54,Krzysztof Jotko,largo
474,Norman Parke,177.8,Rustam Khabilov,185.42,7.62,Rustam Khabilov,largo
475,Alex Garcia,182.88,Sean Strickland,193.04,10.16,Sean Strickland,largo
476,Daniel Sarafian,185.42,Oluwale Bamgbose,198.12,12.7,Oluwale Bamgbose,largo
477,Johny Hendricks,175.26,Stephen Thompson,190.5,15.24,Stephen Thompson,largo
478,Ray Borg,160.02,Justin Scoggins,167.64,7.62,Justin Scoggins,largo
479,Artem Lobov,165.1,Alex White,180.34,15.24,Alex White,largo
480,Sage Northcutt,180.34,Bryan Barberena,182.88,2.54,Bryan Barberena,largo
481,Olivier Aubin-Mercier,177.8,Diego Ferreira,187.96,10.16,Diego Ferreira,largo
482,George Sullivan,185.42,Alexander Yakovlev,187.96,2.54,Alexander Yakovlev,largo
483,Matt Dwyer,193.04,Randy Brown,198.12,5.08,Randy Brown,largo
484,TJ Dillashaw,170.18,Dominick Cruz,172.72,2.54,Dominick Cruz,largo
485,Ross Pearson,175.26,Francisco Trinaldo,177.8,2.54,Francisco Trinaldo,largo
486,Tim Boetsch,187.96,Ed Herman,195.58,7.62,Ed Herman,largo
487,Lorenz Larkin,182.88,Albert Tumenov,185.42,2.54,Albert Tumenov,largo
488,Diego Brandao,172.72,Brian Ortega,175.26,2.54,Brian Ortega,largo
489,Scott Holtzman,175.26,Drew Dober,177.8,2.54,Drew Dober,largo
490,Joe Soto,165.1,Michinori Tanaka,170.18,5.08,Michinori Tanaka,largo
491,Junior Dos Santos,195.58,Alistair Overeem,203.2,7.62,Alistair Overeem,largo
492,Michael Johnson,185.42,Nate Diaz,193.04,7.62,Nate Diaz,largo
493,Randa Markos,160.02,Karolina Kowalkiewicz,162.56,2.54,Karolina Kowalkiewicz,largo
494,Hayder Hassan,177.8,Vicente Luque,190.5,12.7,Vicente Luque,largo
495,Jose Aldo,177.8,Conor McGregor,187.96,10.16,Conor McGregor,largo
496,Jacare Souza,182.88,Yoel Romero,185.42,2.54,Yoel Romero,largo
497,John Makdessi,172.72,Yancy Medeiros,190.5,17.78,Yancy Medeiros,largo
498,Artem Lobov,165.1,Ryan Hall,180.34,15.24,Ryan Hall,largo
499,Edson Barboza,190.5,Tony Ferguson,193.04,2.54,Tony Ferguson,largo
500,Jim Miller,180.34,Michael Chiesa,190.5,10.16,Michael Chiesa,largo
501,Elias Theodorou,190.5,Thiago Santos,193.04,2.54,Thiago Santos,largo
502,Yoshihiro Akiyama,185.42,Alberto Mina,195.58,10.16,Alberto Mina,largo
503,Yui Chul Nam,175.26,Mike de la Torre,180.34,5.08,Mike de la Torre,largo
504,Yao Zhikui,162.56,Fredy Serrano,165.1,2.54,Fredy Serrano,largo
505,Ning Guangyou,162.56,Marco Beltran,175.26,12.7,Marco Beltran,largo
506,Horacio Gutierrez,175.26,Enrique Barzola,177.8,2.54,Enrique Barzola,largo
507,Efrain Escudero,177.8,Leandro Silva,182.88,5.08,Leandro Silva,largo
508,Hector Urbina,185.42,Bartosz Fabinski,190.5,5.08,Bartosz Fabinski,largo
509,Gabriel Benitez,180.34,Andre Fili,187.96,7.62,Andre Fili,largo
510,Vernon Ramos,182.88,Alvaro Herrera,187.96,5.08,Alvaro Herrera,largo
511,Ronda Rousey,172.72,Holly Holm,175.26,2.54,Holly Holm,largo
512,Anthony Perosh,190.5,Gian Villante,193.04,2.54,Gian Villante,largo
513,Fabio Maldonado,190.5,Corey Anderson,200.66,10.16,Corey Anderson,largo
514,Pedro Munhoz,165.1,Jimmie Rivera,172.72,7.62,Jimmie Rivera,largo
515,Bruno Korea,165.1,Matheus Nicolau,167.64,2.54,Matheus Nicolau,largo
516,Scott Askham,190.5,Krzysztof Jotko,195.58,5.08,Krzysztof Jotko,largo
517,Shawn Jordan,190.5,Ruslan Magomedov,198.12,7.62,Ruslan Magomedov,largo
518,Jessica Eye,167.64,Julianna Pena,175.26,7.62,Julianna Pena,largo
519,Francisco Trevino,177.8,Sage Northcutt,180.34,2.54,Sage Northcutt,largo
520,Chris Cariaso,160.02,Sergio Pettis,175.26,15.24,Sergio Pettis,largo
521,Gegard Mousasi,193.04,Uriah Hall,200.66,7.62,Uriah Hall,largo
522,Katsunori Kikuno,167.64,Diego Brandao,172.72,5.08,Diego Brandao,largo
523,Naoyuki Kotani,167.64,Kajan Johnson,190.5,22.86,Kajan Johnson,largo
524,Jan Blachowicz,198.12,Corey Anderson,200.66,2.54,Corey Anderson,largo
525,Jessica Andrade,157.48,Raquel Pennington,170.18,12.7,Raquel Pennington,largo
526,Maryna Moroz,170.18,Valerie Letourneau,172.72,2.54,Valerie Letourneau,largo
527,Sam Stout,177.8,Frankie Perez,185.42,7.62,Frankie Perez,largo
528,Yves Jabouin,172.72,Felipe Arantes,185.42,12.7,Felipe Arantes,largo
529,Marcos Rogerio de Lima,190.5,Nikita Krylov,195.58,5.08,Nikita Krylov,largo
530,Sara McMann,167.64,Amanda Nunes,175.26,7.62,Amanda Nunes,largo
531,Chris Dempsey,182.88,Jonathan Wilson,190.5,7.62,Jonathan Wilson,largo
532,Rafael Feijao,185.42,Patrick Cummins,193.04,7.62,Patrick Cummins,largo
533,Hugo Viana,170.18,Guido Cannetti,172.72,2.54,Guido Cannetti,largo
534,Kenny Robertson,187.96,Ben Saunders,195.58,7.62,Ben Saunders,largo
535,Daron Cruickshank,182.88,James Krause,185.42,2.54,James Krause,largo
536,Ross Pearson,175.26,Evan Dunham,177.8,2.54,Evan Dunham,largo
537,Josh Thomson,180.34,Tony Ferguson,193.04,12.7,Tony Ferguson,largo
538,Scott Jorgensen,167.64,Manvel Gamburyan,170.18,2.54,Manvel Gamburyan,largo
539,Jake Ellenberger,180.34,Stephen Thompson,190.5,10.16,Stephen Thompson,largo
540,Russell Doane,177.8,Jerrod Sanders,182.88,5.08,Jerrod Sanders,largo
541,Dan Miller,187.96,Trevor Smith,190.5,2.54,Trevor Smith,largo
542,Darrell Montague,170.18,Willie Gates,177.8,7.62,Willie Gates,largo
543,Chad Mendes,167.64,Conor McGregor,187.96,20.32,Conor McGregor,largo
544,Dennis Bermudez,167.64,Jeremy Stephens,180.34,12.7,Jeremy Stephens,largo
545,Brad Pickett,172.72,Thomas Almeida,177.8,5.08,Thomas Almeida,largo
546,Neil Seery,162.56,Louis Smolka,172.72,10.16,Louis Smolka,largo
547,Yosdenis Cedeno,175.26,Cody Pfister,185.42,10.16,Cody Pfister,largo
548,Alejandro Perez,170.18,Patrick Williams,185.42,15.24,Patrick Williams,largo
549,Francisco Trevino,177.8,Johnny Case,182.88,5.08,Johnny Case,largo
550,Augusto Montano,185.42,Cathal Pendred,190.5,5.08,Cathal Pendred,largo
551,Thiago Tavares,172.72,Brian Ortega,175.26,2.54,Brian Ortega,largo
552,Joe Soto,165.1,Anthony Birchak,175.26,10.16,Anthony Birchak,largo
553,Ricardo Abreu,185.42,Jake Collier,198.12,12.7,Jake Collier,largo
554,Nik Lentz,172.72,Charles Oliveira,187.96,15.24,Charles Oliveira,largo
555,KJ Noons,182.88,Alex Oliveira,193.04,10.16,Alex Oliveira,largo
556,Wendell Oliveira,182.88,Darren Till,187.96,5.08,Darren Till,largo
557,Elizeu Zaleski dos Santos,185.42,Nicolas Dalby,187.96,2.54,Nicolas Dalby,largo
558,Luiz Dutra,180.34,Tom Breese,185.42,5.08,Tom Breese,largo
559,Hyun Gyu Lim,195.58,Neil Magny,203.2,7.62,Neil Magny,largo
560,Tae Hyun Bang,180.34,Jon Tuck,185.42,5.08,Jon Tuck,largo
561,Zhang Lipeng,180.34,Kajan Johnson,190.5,10.16,Kajan Johnson,largo
562,Roldan Sangcha-an,165.1,Jon Delos Reyes,170.18,5.08,Jon Delos Reyes,largo
563,Jake Matthews,185.42,James Vick,193.04,7.62,James Vick,largo
564,Hatsu Hioki,177.8,Dan Hooker,190.5,12.7,Dan Hooker,largo
565,Daniel Kelly,177.8,Sam Alvey,190.5,12.7,Sam Alvey,largo
566,Dylan Andrews,185.42,Bradley Scott,193.04,7.62,Bradley Scott,largo
567,Yves Jabouin,172.72,Thomas Almeida,177.8,5.08,Thomas Almeida,largo
568,Lyoto Machida,187.96,Luke Rockhold,195.58,7.62,Luke Rockhold,largo
569,Jim Miller,180.34,Beneil Dariush,182.88,2.54,Beneil Dariush,largo
570,Takeya Mizugaki,172.72,Aljamain Sterling,180.34,7.62,Aljamain Sterling,largo
571,George Sullivan,185.42,Tim Means,190.5,5.08,Tim Means,largo
572,Joanne Calderwood,165.1,Maryna Moroz,170.18,5.08,Maryna Moroz,largo
573,Damian Stasiak,177.8,Yaotzin Meza,187.96,10.16,Yaotzin Meza,largo
574,Daniel Omielanczuk,187.96,Anthony Hamilton,193.04,5.08,Anthony Hamilton,largo
575,Gray Maynard,177.8,Alexander Yakovlev,187.96,10.16,Alexander Yakovlev,largo
576,Shamil Abdurakhimov,193.04,Tim Johnson,195.58,2.54,Tim Johnson,largo
577,Carla Esparza,160.02,Joanna Jedrzejczyk,165.1,5.08,Joanna Jedrzejczyk,largo
578,Roy Nelson,182.88,Alistair Overeem,203.2,20.32,Alistair Overeem,largo
579,Chris Cariaso,160.02,Henry Cejudo,162.56,2.54,Henry Cejudo,largo
580,Jake Lindsey,180.34,Joe Duffy,185.42,5.08,Joe Duffy,largo
581,Larissa Pacheco,175.26,Germaine de Randamie,180.34,5.08,Germaine de Randamie,largo
582,Raquel Pennington,170.18,Holly Holm,175.26,5.08,Holly Holm,largo
583,Mark Munoz,182.88,Roan Carneiro,187.96,5.08,Roan Carneiro,largo
584,Dhiego Lima,187.96,Tim Means,190.5,2.54,Tim Means,largo
585,Jessica Andrade,157.48,Marion Reneau,172.72,15.24,Marion Reneau,largo
586,William Patolino,190.5,Matt Dwyer,193.04,2.54,Matt Dwyer,largo
587,Tiago Trator,177.8,Mike de la Torre,180.34,2.54,Mike de la Torre,largo
588,Michel Prazeres,170.18,Kevin Lee,195.58,25.4,Kevin Lee,largo
589,Ian McCall,162.56,John Lineker,170.18,7.62,John Lineker,largo
590,Richardson Moreira,182.88,Ildemar Alcantara,198.12,15.24,Ildemar Alcantara,largo
591,Dan Henderson,187.96,Gegard Mousasi,193.04,5.08,Gegard Mousasi,largo
592,Andy Ogle,175.26,Makwan Amirkhani,182.88,7.62,Makwan Amirkhani,largo
593,Norman Parke,177.8,Gleison Tibau,180.34,2.54,Gleison Tibau,largo
594,John Howard,180.34,Lorenz Larkin,182.88,2.54,Lorenz Larkin,largo
595,Tateki Matsuda,165.1,Joby Sanchez,172.72,7.62,Joby Sanchez,largo
596,Tom Niinimaki,175.26,Renato Moicano,182.88,7.62,Renato Moicano,largo
597,Gabriel Gonzaga,193.04,Matt Mitrione,200.66,7.62,Matt Mitrione,largo
598,Claudia Gadelha,160.02,Joanna Jedrzejczyk,165.1,5.08,Joanna Jedrzejczyk,largo
599,Joe Riggs,177.8,Ben Saunders,195.58,17.78,Ben Saunders,largo
600,Jeremy Stephens,180.34,Charles Oliveira,187.96,7.62,Charles Oliveira,largo
601,Joe Proctor,182.88,Yancy Medeiros,190.5,7.62,Yancy Medeiros,largo
602,Johny Hendricks,175.26,Robbie Lawler,187.96,12.7,Robbie Lawler,largo
603,Eddie Gordon,193.04,Josh Samman,200.66,7.62,Josh Samman,largo
604,Alex White,180.34,Clay Collard,185.42,5.08,Clay Collard,largo
605,Bobby Green,180.34,Edson Barboza,190.5,10.16,Edson Barboza,largo
606,Jared Rosholt,190.5,Aleksei Oleinik,203.2,12.7,Aleksei Oleinik,largo
607,Luke Barnatt,195.58,Roger Narvaez,200.66,5.08,Roger Narvaez,largo
608,Edgar Garcia,180.34,Hector Urbina,185.42,5.08,Hector Urbina,largo
609,Mauricio Rua,193.04,Ovince Saint Preux,203.2,10.16,Ovince Saint Preux,largo
610,Wagner Silva,180.34,Colby Covington,182.88,2.54,Colby Covington,largo
611,Ross Pearson,175.26,Al Iaquinta,177.8,2.54,Al Iaquinta,largo
612,Dylan Andrews,185.42,Sam Alvey,190.5,5.08,Sam Alvey,largo
613,Jumabieke Tuerxun,170.18,Marcus Brimage,180.34,10.16,Marcus Brimage,largo
614,Glover Teixeira,193.04,Phil Davis,200.66,7.62,Phil Davis,largo
615,William Patolino,190.5,Neil Magny,203.2,12.7,Neil Magny,largo
616,Felipe Arantes,185.42,Andre Fili,187.96,2.54,Andre Fili,largo
617,Akira Corassani,172.72,Max Holloway,175.26,2.54,Max Holloway,largo
618,Ilir Latifi,185.42,Jan Blachowicz,198.12,12.7,Jan Blachowicz,largo
619,Dustin Poirier,182.88,Conor McGregor,187.96,5.08,Conor McGregor,largo
620,Patrick Cote,180.34,Stephen Thompson,190.5,10.16,Stephen Thompson,largo
621,John Howard,180.34,Brian Ebersole,185.42,5.08,Brian Ebersole,largo
622,Jon Tuck,185.42,Kevin Lee,195.58,10.16,Kevin Lee,largo
623,Michinori Tanaka,170.18,Kyung Ho Kang,185.42,15.24,Kyung Ho Kang,largo
624,Paulo Thiago,185.42,Sean Spencer,190.5,5.08,Sean Spencer,largo
625,Sean Soriano,177.8,Chas Skelly,182.88,5.08,Chas Skelly,largo
626,Lorenz Larkin,182.88,Derek Brunson,195.58,12.7,Derek Brunson,largo
627,Ruan Potts,190.5,Anthony Hamilton,193.04,2.54,Anthony Hamilton,largo
628,Yao Zhikui,162.56,Royston Wee,170.18,7.62,Royston Wee,largo
