,weight_class
1100,Middleweight
1101,Middleweight
1102,Middleweight
1103,Featherweight
1105,Featherweight
1106,Welterweight
1107,Featherweight
1108,Heavyweight
1109,Light Heavyweight
1110,Featherweight
1111,Light Heavyweight
1112,Bantamweight
1113,Light Heavyweight
1114,Welterweight
1115,Welterweight
1116,Lightweight
1117,Featherweight
1119,Lightweight
1120,Heavyweight
1121,Lightweight
1122,Lightweight
1123,Lightweight
1124,Light Heavyweight
1125,Heavyweight
1127,Flyweight
1128,Welterweight
1130,Lightweight
1132,Lightweight
1133,Welterweight
1134,Light Heavyweight
1135,Welterweight
1136,Light Heavyweight
1137,Bantamweight
1138,Lightweight
1139,Lightweight
1140,Light Heavyweight
1141,Heavyweight
1142,Welterweight
1144,Middleweight
1145,Welterweight
1147,Heavyweight
1148,Light Heavyweight
1149,Heavyweight
1150,Welterweight
1151,Middleweight
1152,Bantamweight
1153,Lightweight
1154,Lightweight
1155,Light Heavyweight
1156,Middleweight
1157,Welterweight
1158,Bantamweight
1159,Welterweight
1161,Featherweight
1162,Bantamweight
1163,Welterweight
1165,Bantamweight
1166,Welterweight
1167,Middleweight
1168,Welterweight
1169,Lightweight
1171,Flyweight
1172,Lightweight
1173,Featherweight
1175,Welterweight
1176,Flyweight
1177,Middleweight
1178,Welterweight
1179,Bantamweight
1180,Middleweight
1181,Welterweight
1183,Lightweight
1184,Bantamweight
1185,Bantamweight
1186,Flyweight
1187,Featherweight
1189,Middleweight
1190,Bantamweight
1191,Bantamweight
1192,Bantamweight
1193,Featherweight
1194,Flyweight
1196,Bantamweight
1197,Lightweight
1198,Featherweight
1200,Lightweight
1201,Welterweight
1202,Featherweight
1203,Lightweight
1204,Light Heavyweight
1205,Lightweight
1207,Flyweight
1209,Lightweight
1210,Light Heavyweight
1211,Light Heavyweight
1212,Middleweight
1213,Heavyweight
1214,Welterweight
1215,Lightweight
1216,Lightweight
1217,Welterweight
1218,Featherweight
1219,Light Heavyweight
1220,Bantamweight
1221,Light Heavyweight
1222,Bantamweight
1223,Heavyweight
1224,Welterweight
1225,Featherweight
1226,Welterweight
1227,Featherweight
1229,Bantamweight
1230,Featherweight
1231,Flyweight
1232,Featherweight
1234,Flyweight
1236,Heavyweight
1237,Heavyweight
1238,Welterweight
1239,Lightweight
1240,Light Heavyweight
1241,Middleweight
1242,Bantamweight
1243,Lightweight
1244,Welterweight
1245,Lightweight
1247,Middleweight
1248,Lightweight
1249,Featherweight
1250,Featherweight
1252,Middleweight
1254,Lightweight
1255,Lightweight
1256,Featherweight
1257,Featherweight
1258,Middleweight
1259,Welterweight
1260,Light Heavyweight
1262,Welterweight
1263,Bantamweight
1264,Bantamweight
1265,Featherweight
1266,Welterweight
1267,Welterweight
1269,Flyweight
1270,Flyweight
1272,Middleweight
1273,Welterweight
1275,Heavyweight
1276,Welterweight
1277,Heavyweight
1279,Featherweight
1280,Heavyweight
1281,Light Heavyweight
1282,Flyweight
1283,Lightweight
1284,Featherweight
1285,Bantamweight
1286,Lightweight
1287,Heavyweight
1288,Welterweight
1289,Featherweight
1290,Light Heavyweight
1292,Lightweight
1293,Welterweight
1294,Lightweight
1295,Bantamweight
1296,Flyweight
1297,Welterweight
1298,Welterweight
1299,Featherweight
1300,Featherweight
1301,Welterweight
1302,Middleweight
1303,Middleweight
1305,Welterweight
1307,Middleweight
1308,Welterweight
1310,Light Heavyweight
1311,Bantamweight
1313,Welterweight
1314,Welterweight
1315,Flyweight
1317,Featherweight
1318,Featherweight
1319,Bantamweight
1320,Lightweight
1322,Middleweight
1324,Bantamweight
1325,Middleweight
1326,Middleweight
1327,Heavyweight
1328,Lightweight
1329,Welterweight
1330,Welterweight
1331,Middleweight
1332,Welterweight
1333,Middleweight
1334,Lightweight
1335,Featherweight
1336,Heavyweight
1337,Middleweight
1338,Bantamweight
1339,Lightweight
1340,Welterweight
1341,Bantamweight
1342,Welterweight
1343,Light Heavyweight
1344,Welterweight
1345,Lightweight
1346,Welterweight
1347,Middleweight
1349,Middleweight
1350,Welterweight
1351,Flyweight
1352,Middleweight
1353,Lightweight
1355,Welterweight
1356,Heavyweight
1357,Bantamweight
1358,Bantamweight
1359,Lightweight
1361,Featherweight
1362,Featherweight
1363,Lightweight
1365,Lightweight
1367,Light Heavyweight
1368,Heavyweight
1369,Light Heavyweight
1370,Bantamweight
1371,Welterweight
1372,Middleweight
1373,Welterweight
1374,Featherweight
1375,Light Heavyweight
1376,Lightweight
1377,Heavyweight
1379,Featherweight
1380,Bantamweight
1381,Heavyweight
1384,Lightweight
1385,Bantamweight
1386,Middleweight
1387,Welterweight
1388,Bantamweight
1389,Light Heavyweight
1390,Featherweight
1392,Light Heavyweight
1393,Welterweight
1394,Bantamweight
1397,Welterweight
1398,Light Heavyweight
1399,Bantamweight
1400,Flyweight
1401,Bantamweight
1402,Welterweight
1403,Heavyweight
1404,Lightweight
1405,Welterweight
1406,Featherweight
1407,Lightweight
1408,Lightweight
1409,Welterweight
1410,Flyweight
1412,Welterweight
1413,Middleweight
1414,Middleweight
1415,Heavyweight
1416,Heavyweight
1417,Welterweight
1418,Light Heavyweight
1419,Lightweight
1420,Middleweight
1421,Featherweight
1422,Flyweight
1423,Lightweight
1424,Bantamweight
1425,Welterweight
1426,Middleweight
1428,Lightweight
1429,Heavyweight
1430,Bantamweight
1431,Middleweight
1432,Welterweight
1433,Lightweight
1435,Bantamweight
1436,Flyweight
1437,Middleweight
1438,Featherweight
1439,Lightweight
1440,Welterweight
1441,Lightweight
1442,Featherweight
1446,Lightweight
1447,Welterweight
1448,Featherweight
1449,Heavyweight
1450,Light Heavyweight
1451,Featherweight
1452,Light Heavyweight
1453,Bantamweight
1454,Featherweight
1455,Welterweight
1456,Flyweight
