,Red,R_Height_cms,Blue,B_Height_cms,height_dif,ganador,ganador_height
1408,Vitor Miranda,185.42,Clint Hester,187.96,2.54,Vitor Miranda,alto
1409,Jim Miller,172.72,Danny Castillo,175.26,2.54,Jim Miller,alto
1410,Joanne Calderwood,167.64,Cortney Casey,170.18,2.54,Joanne Calderwood,alto
1411,Ilir Latifi,177.8,Hans Stringer,190.5,12.7,Ilir Latifi,alto
1412,Mickael Lebout,180.34,Teemu Packalen,185.42,5.08,Mickael Lebout,alto
1413,Rob Whiteford,175.26,Paul Redmond,177.8,2.54,Rob Whiteford,alto
1414,Daniel Omielanczuk,182.88,Chris de la Rocha,190.5,7.62,Daniel Omielanczuk,alto
1415,Kevin Lee,175.26,James Moontasri,177.8,2.54,Kevin Lee,alto
1416,Alan Jouban,182.88,Matt Dwyer,193.04,10.16,Alan Jouban,alto
1417,Sam Sicilia,172.72,Yaotzin Meza,175.26,2.54,Sam Sicilia,alto
1418,Jessica Andrade,154.94,Sarah Moras,170.18,15.24,Jessica Andrade,alto
1419,Rani Yahya,167.64,Masanori Kanehara,170.18,2.54,Rani Yahya,alto
1420,Kevin Casey,180.34,Ildemar Alcantara,187.96,7.62,Kevin Casey,alto
1421,Michael Graves,177.8,Vicente Luque,180.34,2.54,Michael Graves,alto
1422,Jorge Masvidal,180.34,Cezar Ferreira,185.42,5.08,Jorge Masvidal,alto
1423,Maximo Blanco,172.72,Mike de la Torre,180.34,7.62,Maximo Blanco,alto
1424,George Sullivan,182.88,Dominic Waters,185.42,2.54,George Sullivan,alto
1425,Robbie Lawler,180.34,Rory MacDonald,182.88,2.54,Robbie Lawler,alto
1426,Gunnar Nelson,180.34,Brandon Thatch,187.96,7.62,Gunnar Nelson,alto
1427,Matt Brown,182.88,Tim Means,187.96,5.08,Matt Brown,alto
1428,Alex Oliveira,180.34,Joe Merritt,182.88,2.54,Alex Oliveira,alto
1429,Leandro Silva,175.26,Lewis Gonzalez,177.8,2.54,Leandro Silva,alto
1430,Nick Hein,167.64,Lukasz Sajewski,172.72,5.08,Nick Hein,alto
1431,Mairbek Taisumov,175.26,Alan Patrick,180.34,5.08,Mairbek Taisumov,alto
1432,Taylor Lapilus,167.64,Ulka Sasaki,177.8,10.16,Taylor Lapilus,alto
1433,Kelvin Gastelum,175.26,Nate Marquardt,182.88,7.62,Kelvin Gastelum,alto
1434,Tecia Torres,154.94,Angela Hill,160.02,5.08,Tecia Torres,alto
1435,Henry Cejudo,162.56,Chico Camus,167.64,5.08,Henry Cejudo,alto
1436,Gabriel Benitez,172.72,Clay Collard,180.34,7.62,Gabriel Benitez,alto
1437,Dustin Poirier,175.26,Yancy Medeiros,177.8,2.54,Dustin Poirier,alto
1438,Francisco Rivera,172.72,Alex Caceres,177.8,5.08,Francisco Rivera,alto
