,Red,R_Height_cms,Blue,B_Height_cms,height_dif,ganador,ganador_height
3322,Thiago Santos,187.96,Steve Bosse,180.34,-7.62,Thiago Santos,bajo
3323,Joanna Jedrzejczyk,167.64,Jessica Penne,165.1,-2.54,Joanna Jedrzejczyk,bajo
3324,Peter Sobotta,182.88,Steve Kennedy,180.34,-2.54,Peter Sobotta,bajo
3325,Scott Askham,190.5,Antonio Dos Santos,177.8,-12.7,Scott Askham,bajo
3326,Yair Rodriguez,180.34,Charles Rosa,175.26,-5.08,Yair Rodriguez,bajo
3327,Efrain Escudero,175.26,Drew Dober,172.72,-2.54,Efrain Escudero,bajo
3328,Ben Rothwell,193.04,Matt Mitrione,190.5,-2.54,Ben Rothwell,bajo
3329,Carlos Condit,187.96,Thiago Alves,175.26,-12.7,Carlos Condit,bajo
3330,Jussier Formiga,165.1,Wilson Reis,162.56,-2.54,Jussier Formiga,bajo
3331,Chris Weidman,187.96,Vitor Belfort,182.88,-5.08,Chris Weidman,bajo
3332,Donald Cerrone,185.42,John Makdessi,172.72,-12.7,Donald Cerrone,bajo
3333,Dong Hyun Kim,187.96,Joshua Burkman,177.8,-10.16,Dong Hyun Kim,bajo
3334,Justin Scoggins,170.18,Joshua Sampo,162.56,-7.62,Justin Scoggins,bajo
3335,Gegard Mousasi,187.96,Costas Philippou,180.34,-7.62,Gegard Mousasi,bajo
3336,Stipe Miocic,193.04,Mark Hunt,177.8,-15.24,Stipe Miocic,bajo
3337,Kyle Noke,185.42,Jonavin Webb,177.8,-7.62,Kyle Noke,bajo
3338,Bec Rawlings,167.64,Lisa Ellis,162.56,-5.08,Bec Rawlings,bajo
3339,Alexis Davis,167.64,Sarah Kaufman,165.1,-2.54,Alexis Davis,bajo
3340,Nordine Taleb,185.42,Chris Clements,177.8,-7.62,Nordine Taleb,bajo
3341,Randa Markos,162.56,Aisling Daly,157.48,-5.08,Randa Markos,bajo
3342,Ovince Saint Preux,190.5,Patrick Cummins,187.96,-2.54,Ovince Saint Preux,bajo
3343,Sergio Moraes,182.88,Mickael Lebout,180.34,-2.54,Sergio Moraes,bajo
3344,Michael Chiesa,185.42,Mitch Clarke,177.8,-7.62,Michael Chiesa,bajo
3345,Julianna Pena,167.64,Milana Dudieva,160.02,-7.62,Julianna Pena,bajo
3346,Ron Stallings,187.96,Justin Jones,180.34,-7.62,Ron Stallings,bajo
3347,Erick Silva,182.88,Josh Koscheck,177.8,-5.08,Erick Silva,bajo
3348,Amanda Nunes,172.72,Shayna Baszler,170.18,-2.54,Amanda Nunes,bajo
3349,Kevin Souza,182.88,Katsunori Kikuno,172.72,-10.16,Kevin Souza,bajo
3350,Leonardo Mafra,177.8,Cain Carrizosa,172.72,-5.08,Leonardo Mafra,bajo
3351,Jared Rosholt,187.96,Josh Copeland,185.42,-2.54,Jared Rosholt,bajo
3352,Ronda Rousey,170.18,Cat Zingano,167.64,-2.54,Ronda Rousey,bajo
3353,Tony Ferguson,180.34,Gleison Tibau,177.8,-2.54,Tony Ferguson,bajo
3354,Derrick Lewis,190.5,Ruan Potts,187.96,-2.54,Derrick Lewis,bajo
3355,Neil Magny,190.5,Kiichi Kunimoto,177.8,-12.7,Neil Magny,bajo
3356,Daniel Kelly,182.88,Patrick Walsh,180.34,-2.54,Daniel Kelly,bajo
3357,Efrain Escudero,175.26,Rodrigo de Lima,170.18,-5.08,Efrain Escudero,bajo
3358,Chas Skelly,180.34,Jim Alers,175.26,-5.08,Chas Skelly,bajo
3359,Thales Leites,185.42,Tim Boetsch,182.88,-2.54,Thales Leites,bajo
3360,Nikita Krylov,190.5,Stanislav Nedkov,180.34,-10.16,Nikita Krylov,bajo
3361,Viktor Pesta,190.5,Konstantin Erokhin,180.34,-10.16,Viktor Pesta,bajo
3362,Conor McGregor,175.26,Dennis Siver,167.64,-7.62,Conor McGregor,bajo
3363,Donald Cerrone,185.42,Benson Henderson,175.26,-10.16,Donald Cerrone,bajo
3364,Cathal Pendred,185.42,Sean Spencer,177.8,-7.62,Cathal Pendred,bajo
3365,Paddy Holohan,177.8,Shane Howell,172.72,-5.08,Paddy Holohan,bajo
3366,Jon Jones,193.04,Daniel Cormier,180.34,-12.7,Jon Jones,bajo
3367,Donald Cerrone,185.42,Myles Jury,177.8,-7.62,Donald Cerrone,bajo
3368,Brad Tavares,185.42,Nate Marquardt,182.88,-2.54,Brad Tavares,bajo
3369,Kyoji Horiguchi,165.1,Louis Gaudinot,160.02,-5.08,Kyoji Horiguchi,bajo
3370,Shawn Jordan,182.88,Jared Cannonier,180.34,-2.54,Shawn Jordan,bajo
3371,Evan Dunham,177.8,Rodrigo Damm,170.18,-7.62,Evan Dunham,bajo
3372,Renan Barao,167.64,Mitch Gagnon,165.1,-2.54,Renan Barao,bajo
3373,Marcos Rogerio de Lima,185.42,Igor Pokrajac,182.88,-2.54,Marcos Rogerio de Lima,bajo
3374,Jessica Penne,165.1,Randa Markos,162.56,-2.54,Jessica Penne,bajo
3375,Joanne Calderwood,167.64,Seohee Ham,157.48,-10.16,Joanne Calderwood,bajo
3376,Anthony Pettis,177.8,Gilbert Melendez,175.26,-2.54,Anthony Pettis,bajo
3377,Travis Browne,198.12,Brendan Schaub,193.04,-5.08,Travis Browne,bajo
3378,Tony Ferguson,180.34,Abel Trujillo,172.72,-7.62,Tony Ferguson,bajo
3379,Corey Anderson,190.5,Justin Jones,180.34,-10.16,Corey Anderson,bajo
3380,Matt Wiman,177.8,Isaac Vallie-Flagg,172.72,-5.08,Matt Wiman,bajo
3381,Ruslan Magomedov,190.5,Josh Copeland,185.42,-5.08,Ruslan Magomedov,bajo
3382,James Vick,190.5,Nick Hein,167.64,-22.86,James Vick,bajo
3383,Fabricio Werdum,193.04,Mark Hunt,177.8,-15.24,Fabricio Werdum,bajo
3384,Ricardo Lamas,172.72,Dennis Bermudez,167.64,-5.08,Ricardo Lamas,bajo
3385,Augusto Montano,185.42,Chris Heatherly,175.26,-10.16,Augusto Montano,bajo
3386,Yair Rodriguez,180.34,Leonardo Morales,172.72,-7.62,Yair Rodriguez,bajo
3387,Henry Briones,172.72,Guido Cannetti,167.64,-5.08,Henry Briones,bajo
3388,Dhiego Lima,187.96,Jorge de Oliveira,172.72,-15.24,Dhiego Lima,bajo
3389,Diego Rivas,172.72,Rodolfo Rubio,165.1,-7.62,Diego Rivas,bajo
3390,Thomas Almeida,170.18,Tim Gorman,165.1,-5.08,Thomas Almeida,bajo
3391,Luke Rockhold,190.5,Michael Bisping,185.42,-5.08,Luke Rockhold,bajo
3392,Jake Matthews,180.34,Vagner Rocha,177.8,-2.54,Jake Matthews,bajo
3393,Jose Aldo,170.18,Chad Mendes,167.64,-2.54,Jose Aldo,bajo
3394,Yan Cabral,180.34,Naoyuki Kotani,172.72,-7.62,Yan Cabral,bajo
3395,Rory MacDonald,182.88,Tarec Saffiedine,177.8,-5.08,Rory MacDonald,bajo
3396,Chad Laprise,177.8,Yosdenis Cedeno,172.72,-5.08,Chad Laprise,bajo
3397,Elias Theodorou,185.42,Bruno Santos,175.26,-10.16,Elias Theodorou,bajo
3398,Nordine Taleb,185.42,Li Jingliang,182.88,-2.54,Nordine Taleb,bajo
3399,Magnus Cedenblad,195.58,Scott Askham,190.5,-5.08,Magnus Cedenblad,bajo
3400,Cathal Pendred,185.42,Gasan Umalatov,180.34,-5.08,Cathal Pendred,bajo
3401,Donald Cerrone,185.42,Eddie Alvarez,175.26,-10.16,Donald Cerrone,bajo
3402,Dominick Cruz,172.72,Takeya Mizugaki,170.18,-2.54,Dominick Cruz,bajo
3403,Myles Jury,177.8,Takanori Gomi,170.18,-7.62,Myles Jury,bajo
3404,Miesha Tate,167.64,Rin Nakai,154.94,-12.7,Miesha Tate,bajo
3405,Hyun Gyu Lim,190.5,Takenori Sato,177.8,-12.7,Hyun Gyu Lim,bajo
3406,Gleison Tibau,177.8,Piotr Hallmann,175.26,-2.54,Gleison Tibau,bajo
3407,Leonardo Santos,182.88,Efrain Escudero,175.26,-7.62,Leonardo Santos,bajo
3408,Santiago Ponzinibbio,182.88,Wendell Oliveira,177.8,-5.08,Santiago Ponzinibbio,bajo
3409,Iuri Alcantara,175.26,Russell Doane,170.18,-5.08,Iuri Alcantara,bajo
3410,Al Iaquinta,177.8,Rodrigo Damm,170.18,-7.62,Al Iaquinta,bajo
3411,Tony Ferguson,180.34,Danny Castillo,175.26,-5.08,Tony Ferguson,bajo
3412,Chris Wade,177.8,Cain Carrizosa,172.72,-5.08,Chris Wade,bajo
3413,James Vick,190.5,Valmir Lazaro,182.88,-7.62,James Vick,bajo
3414,Chas Skelly,180.34,Tom Niinimaki,175.26,-5.08,Chas Skelly,bajo
3415,Neil Magny,190.5,Alex Garcia,175.26,-15.24,Neil Magny,bajo
3416,Ben Saunders,187.96,Chris Heatherly,175.26,-12.7,Ben Saunders,bajo
3417,Michael Bisping,185.42,Cung Le,175.26,-10.16,Michael Bisping,bajo
3418,Zhang Lipeng,180.34,Brendan O'Reilly,170.18,-10.16,Zhang Lipeng,bajo
3419,Alberto Mina,182.88,Shinsho Anzai,170.18,-12.7,Alberto Mina,bajo
3420,Jussier Formiga,165.1,Zach Makovsky,162.56,-2.54,Jussier Formiga,bajo
3421,Conor McGregor,175.26,Diego Brandao,170.18,-5.08,Conor McGregor,bajo
3422,Norman Parke,180.34,Naoyuki Kotani,172.72,-7.62,Norman Parke,bajo
3423,Paddy Holohan,177.8,Joshua Sampo,162.56,-15.24,Paddy Holohan,bajo
3424,Donald Cerrone,185.42,Jim Miller,172.72,-12.7,Donald Cerrone,bajo
3425,Edson Barboza,180.34,Evan Dunham,177.8,-2.54,Edson Barboza,bajo
3426,Claudia Gadelha,162.56,Tina Lahdemaki,157.48,-5.08,Claudia Gadelha,bajo
3427,Adriano Martins,177.8,Juan Puig,175.26,-2.54,Adriano Martins,bajo
3428,Chris Weidman,187.96,Lyoto Machida,185.42,-2.54,Chris Weidman,bajo
3429,Ronda Rousey,170.18,Alexis Davis,167.64,-2.54,Ronda Rousey,bajo
3430,Luke Zachrich,187.96,Guilherme Vasconcelos,182.88,-5.08,Luke Zachrich,bajo
3431,Jake Matthews,180.34,Dashon Johnson,170.18,-10.16,Jake Matthews,bajo
3432,Richie Vaculik,167.64,Roldan Sangcha-an,162.56,-5.08,Richie Vaculik,bajo
3433,Neil Magny,190.5,Rodrigo de Lima,170.18,-20.32,Neil Magny,bajo
3434,Dan Hooker,182.88,Ian Entwistle,165.1,-17.78,Dan Hooker,bajo
3435,Gian Villante,190.5,Sean O'Connell,185.42,-5.08,Gian Villante,bajo
3436,Rory MacDonald,182.88,Tyron Woodley,175.26,-7.62,Rory MacDonald,bajo
3437,Ryan Bader,187.96,Rafael Feijao,185.42,-2.54,Ryan Bader,bajo
3438,Ovince Saint Preux,190.5,Ryan Jimmo,185.42,-5.08,Ovince Saint Preux,bajo
3439,Valerie Letourneau,170.18,Elizabeth Phillips,167.64,-2.54,Valerie Letourneau,bajo
3440,Yves Jabouin,170.18,Mike Easton,167.64,-2.54,Yves Jabouin,bajo
3441,Benson Henderson,175.26,Rustam Khabilov,172.72,-2.54,Benson Henderson,bajo
3442,Diego Sanchez,177.8,Ross Pearson,172.72,-5.08,Diego Sanchez,bajo
3443,Stipe Miocic,193.04,Fabio Maldonado,185.42,-7.62,Stipe Miocic,bajo
3444,Elias Silverio,180.34,Ernest Chavez,172.72,-7.62,Elias Silverio,bajo
3445,Kevin Souza,182.88,Mark Eddiva,172.72,-10.16,Kevin Souza,bajo
3446,Magnus Cedenblad,195.58,Krzysztof Jotko,185.42,-10.16,Magnus Cedenblad,bajo
3447,Robbie Lawler,180.34,Jake Ellenberger,175.26,-5.08,Robbie Lawler,bajo
3448,Michael Chiesa,185.42,Francisco Trinaldo,175.26,-10.16,Michael Chiesa,bajo
3449,Tony Ferguson,180.34,Katsunori Kikuno,172.72,-7.62,Tony Ferguson,bajo
3450,Chris Holdsworth,180.34,Chico Camus,167.64,-12.7,Chris Holdsworth,bajo
3451,Neil Magny,190.5,Tim Means,187.96,-2.54,Neil Magny,bajo
3452,Soa Palelei,193.04,Ruan Potts,187.96,-5.08,Soa Palelei,bajo
3453,Ed Herman,185.42,Rafael Natal,182.88,-2.54,Ed Herman,bajo
3454,Jon Jones,193.04,Glover Teixeira,187.96,-5.08,Jon Jones,bajo
3455,Luke Rockhold,190.5,Tim Boetsch,182.88,-7.62,Luke Rockhold,bajo
3456,Donald Cerrone,185.42,Edson Barboza,180.34,-5.08,Donald Cerrone,bajo
3457,Dustin Ortiz,165.1,Ray Borg,162.56,-2.54,Dustin Ortiz,bajo
3458,Chad Laprise,177.8,Olivier Aubin-Mercier,175.26,-2.54,Chad Laprise,bajo
3459,Dustin Poirier,175.26,Akira Corassani,172.72,-2.54,Dustin Poirier,bajo
3460,George Roop,185.42,Dustin Kimura,170.18,-15.24,George Roop,bajo
3461,Nordine Taleb,185.42,Vik Grujic,180.34,-5.08,Nordine Taleb,bajo
3462,Richard Walsh,182.88,Chris Indich,177.8,-5.08,Richard Walsh,bajo
3463,Ramsey Nijem,180.34,Beneil Dariush,177.8,-2.54,Ramsey Nijem,bajo
3464,Jared Rosholt,187.96,Daniel Omielanczuk,182.88,-5.08,Jared Rosholt,bajo
3465,Alexander Gustafsson,195.58,Jimi Manuwa,185.42,-10.16,Alexander Gustafsson,bajo
3466,Michael Johnson,177.8,Melvin Guillard,175.26,-2.54,Michael Johnson,bajo
3467,Brad Pickett,167.64,Neil Seery,162.56,-5.08,Brad Pickett,bajo
3468,Luke Barnatt,198.12,Mats Nilsson,185.42,-12.7,Luke Barnatt,bajo
3469,Dong Hyun Kim,187.96,John Hathaway,185.42,-2.54,Dong Hyun Kim,bajo
3470,Matt Mitrione,190.5,Shawn Jordan,182.88,-7.62,Matt Mitrione,bajo
3471,Hatsu Hioki,180.34,Ivan Menjivar,167.64,-12.7,Hatsu Hioki,bajo
3472,Ronda Rousey,170.18,Sara McMann,167.64,-2.54,Ronda Rousey,bajo
3473,Mike Pyle,182.88,TJ Waldburger,180.34,-2.54,Mike Pyle,bajo
3474,Erick Silva,182.88,Takenori Sato,177.8,-5.08,Erick Silva,bajo
3475,Charles Oliveira,177.8,Andy Ogle,172.72,-5.08,Charles Oliveira,bajo
3476,Iuri Alcantara,175.26,Wilson Reis,162.56,-12.7,Iuri Alcantara,bajo
3477,Ildemar Alcantara,187.96,Albert Tumenov,180.34,-7.62,Ildemar Alcantara,bajo
3478,Al Iaquinta,177.8,Kevin Lee,175.26,-2.54,Al Iaquinta,bajo
3479,Neil Magny,190.5,Gasan Umalatov,180.34,-10.16,Neil Magny,bajo
3480,Stipe Miocic,193.04,Gabriel Gonzaga,187.96,-5.08,Stipe Miocic,bajo
3481,Donald Cerrone,185.42,Adriano Martins,177.8,-7.62,Donald Cerrone,bajo
3482,Alex Caceres,177.8,Sergio Pettis,167.64,-10.16,Alex Caceres,bajo
3483,Luke Rockhold,190.5,Costas Philippou,180.34,-10.16,Luke Rockhold,bajo
3484,John Moraga,167.64,Dustin Ortiz,165.1,-2.54,John Moraga,bajo
3485,Cole Miller,185.42,Sam Sicilia,172.72,-12.7,Cole Miller,bajo
3486,Ramsey Nijem,180.34,Justin Edwards,177.8,-2.54,Ramsey Nijem,bajo
3487,Trevor Smith,190.5,Brian Houston,187.96,-2.54,Trevor Smith,bajo
3488,Kyung Ho Kang,175.26,Shunichi Shimizu,165.1,-10.16,Kyung Ho Kang,bajo
3489,Dustin Kimura,170.18,Jon Delos Reyes,167.64,-2.54,Dustin Kimura,bajo
3490,Ronda Rousey,170.18,Miesha Tate,167.64,-2.54,Ronda Rousey,bajo
3491,Dustin Poirier,175.26,Diego Brandao,170.18,-5.08,Dustin Poirier,bajo
3492,Joe Lauzon,177.8,Mac Danzig,172.72,-5.08,Joe Lauzon,bajo
3493,Takeya Mizugaki,170.18,Nam Phan,167.64,-2.54,Takeya Mizugaki,bajo
3494,Chris Holdsworth,180.34,Davey Grant,172.72,-7.62,Chris Holdsworth,bajo
3495,Sean Spencer,177.8,Drew Dober,172.72,-5.08,Sean Spencer,bajo
3496,Georges St-Pierre,180.34,Johny Hendricks,175.26,-5.08,Georges St-Pierre,bajo
3497,Donald Cerrone,185.42,Evan Dunham,177.8,-7.62,Donald Cerrone,bajo
3498,Erik Perez,172.72,Edwin Figueroa,170.18,-2.54,Erik Perez,bajo
3499,Vitor Belfort,182.88,Dan Henderson,180.34,-2.54,Vitor Belfort,bajo
3500,Cezar Ferreira,185.42,Daniel Sarafian,175.26,-10.16,Cezar Ferreira,bajo
3501,Rafael Feijao,185.42,Igor Pokrajac,182.88,-2.54,Rafael Feijao,bajo
3502,Adriano Martins,177.8,Daron Cruickshank,172.72,-5.08,Adriano Martins,bajo
3503,Lyoto Machida,185.42,Mark Munoz,182.88,-2.54,Lyoto Machida,bajo
3504,Al Iaquinta,177.8,Piotr Hallmann,175.26,-2.54,Al Iaquinta,bajo
3505,Luke Barnatt,198.12,Andrew Craig,185.42,-12.7,Luke Barnatt,bajo
3506,Bradley Scott,185.42,Michael Kuiper,182.88,-2.54,Bradley Scott,bajo
3507,Gabriel Gonzaga,187.96,Shawn Jordan,182.88,-5.08,Gabriel Gonzaga,bajo
3508,Tony Ferguson,180.34,Mike Rio,177.8,-2.54,Tony Ferguson,bajo
3509,Thiago Silva,187.96,Matt Hamill,185.42,-2.54,Thiago Silva,bajo
3510,Brendan Schaub,193.04,Matt Mitrione,190.5,-2.54,Brendan Schaub,bajo
3511,John Makdessi,172.72,Renee Forte,170.18,-2.54,John Makdessi,bajo
3512,Lucas Martins,182.88,Junior Hernandez,175.26,-7.62,Lucas Martins,bajo
3513,Ben Rothwell,193.04,Brandon Vera,190.5,-2.54,Ben Rothwell,bajo
3514,Soa Palelei,193.04,Nikita Krylov,190.5,-2.54,Soa Palelei,bajo
3515,Carlos Condit,187.96,Martin Kampmann,182.88,-5.08,Carlos Condit,bajo
3516,Kelvin Gastelum,175.26,Brian Melancon,172.72,-2.54,Kelvin Gastelum,bajo
3517,Dylan Andrews,185.42,Papy Abedi,180.34,-5.08,Dylan Andrews,bajo
3518,Zak Cummings,182.88,Benny Alloway,180.34,-2.54,Zak Cummings,bajo
3519,Amanda Nunes,172.72,Sheila Gaff,165.1,-7.62,Amanda Nunes,bajo
3520,Rory MacDonald,182.88,Jake Ellenberger,175.26,-7.62,Rory MacDonald,bajo
3521,Liz Carmouche,167.64,Jessica Andrade,154.94,-12.7,Liz Carmouche,bajo
3522,Cub Swanson,172.72,Dennis Siver,167.64,-5.08,Cub Swanson,bajo
3523,Edson Barboza,180.34,Rafaello Oliveira,172.72,-7.62,Edson Barboza,bajo
3524,Rashad Evans,182.88,Dan Henderson,180.34,-2.54,Rashad Evans,bajo
3525,Ryan Jimmo,185.42,Igor Pokrajac,182.88,-2.54,Ryan Jimmo,bajo
3526,Alexis Davis,167.64,Rosi Sexton,160.02,-7.62,Alexis Davis,bajo
3527,Jake Shields,182.88,Tyron Woodley,175.26,-7.62,Jake Shields,bajo
3528,Sean Pierson,182.88,Kenny Robertson,177.8,-5.08,Sean Pierson,bajo
3529,Roland Delorme,175.26,Edwin Figueroa,170.18,-5.08,Roland Delorme,bajo
3530,Mitch Clarke,177.8,John Maguire,175.26,-2.54,Mitch Clarke,bajo
3531,Thiago Silva,187.96,Rafael Feijao,185.42,-2.54,Thiago Silva,bajo
3532,Erick Silva,182.88,Jason High,172.72,-10.16,Erick Silva,bajo
3533,Ildemar Alcantara,187.96,Leandro Silva,175.26,-12.7,Ildemar Alcantara,bajo
3534,Caio Magalhaes,185.42,Karlos Vemola,182.88,-2.54,Caio Magalhaes,bajo
3535,Junior Dos Santos,193.04,Mark Hunt,177.8,-15.24,Junior Dos Santos,bajo
3536,Donald Cerrone,185.42,KJ Noons,177.8,-7.62,Donald Cerrone,bajo
3537,Mike Pyle,182.88,Rick Story,175.26,-7.62,Mike Pyle,bajo
3538,Khabib Nurmagomedov,177.8,Abel Trujillo,172.72,-5.08,Khabib Nurmagomedov,bajo
3539,Stephen Thompson,182.88,Nah-Shon Burrell,180.34,-2.54,Stephen Thompson,bajo
3540,Rafael Natal,182.88,Joao Zeferino,180.34,-2.54,Rafael Natal,bajo
3541,Paulo Thiago,180.34,Michel Prazeres,167.64,-12.7,Paulo Thiago,bajo
3542,Iuri Alcantara,175.26,Iliarde Santos,165.1,-10.16,Iuri Alcantara,bajo
3543,Fabio Maldonado,185.42,Roger Hollett,180.34,-5.08,Fabio Maldonado,bajo
3544,Jussier Formiga,165.1,Chris Cariaso,160.02,-5.08,Jussier Formiga,bajo
3545,Lucas Martins,182.88,Jeremy Larsen,177.8,-5.08,Lucas Martins,bajo
3546,Jon Jones,193.04,Chael Sonnen,185.42,-7.62,Jon Jones,bajo
3547,Sara McMann,167.64,Sheila Gaff,165.1,-2.54,Sara McMann,bajo
3548,Francis Carmont,190.5,Lorenz Larkin,180.34,-10.16,Francis Carmont,bajo
3549,Anthony Njokuani,185.42,Roger Bowling,175.26,-10.16,Anthony Njokuani,bajo
3550,Urijah Faber,167.64,Scott Jorgensen,165.1,-2.54,Urijah Faber,bajo
3551,Travis Browne,198.12,Gabriel Gonzaga,187.96,-10.16,Travis Browne,bajo
3552,Bubba McDaniel,190.5,Gilbert Smith,175.26,-15.24,Bubba McDaniel,bajo
3553,Josh Samman,190.5,Kevin Casey,180.34,-10.16,Josh Samman,bajo
3554,Luke Barnatt,198.12,Collin Hart,185.42,-12.7,Luke Barnatt,bajo
3555,Dylan Andrews,185.42,Jimmy Quinlan,182.88,-2.54,Dylan Andrews,bajo
3556,Cole Miller,185.42,Bart Palaszewski,175.26,-10.16,Cole Miller,bajo
3557,Gegard Mousasi,187.96,Ilir Latifi,177.8,-10.16,Gegard Mousasi,bajo
3558,Reza Madadi,180.34,Michael Johnson,177.8,-2.54,Reza Madadi,bajo
3559,TJ Dillashaw,167.64,Issei Tamura,165.1,-2.54,TJ Dillashaw,bajo
3560,George Roop,185.42,Reuben Duran,170.18,-15.24,George Roop,bajo
3561,Yushin Okami,187.96,Hector Lombard,175.26,-12.7,Yushin Okami,bajo
3562,Dong Hyun Kim,187.96,Siyar Bahadurzada,180.34,-7.62,Dong Hyun Kim,bajo
3563,Ronda Rousey,170.18,Liz Carmouche,167.64,-2.54,Ronda Rousey,bajo
3564,Lyoto Machida,185.42,Dan Henderson,180.34,-5.08,Lyoto Machida,bajo
3565,Michael Chiesa,185.42,Anton Kuivanen,172.72,-12.7,Michael Chiesa,bajo
3566,James Te Huna,187.96,Ryan Jimmo,185.42,-2.54,James Te Huna,bajo
3567,Tom Watson,185.42,Stanislav Nedkov,180.34,-5.08,Tom Watson,bajo
3568,Jose Aldo,170.18,Frankie Edgar,167.64,-2.54,Jose Aldo,bajo
3569,Ryan Bader,187.96,Vladimir Matyushenko,182.88,-5.08,Ryan Bader,bajo
3570,Rafael Natal,182.88,Sean Spencer,177.8,-5.08,Rafael Natal,bajo
3571,Johnny Bedford,177.8,Marcos Vinicius,175.26,-2.54,Johnny Bedford,bajo
3572,Mike Rio,177.8,John Cofer,175.26,-2.54,Mike Rio,bajo
3573,Hector Lombard,175.26,Rousimar Palhares,172.72,-2.54,Hector Lombard,bajo
3574,Benny Alloway,180.34,Manuel Rodriguez,175.26,-5.08,Benny Alloway,bajo
3575,Yves Edwards,175.26,Jeremy Stephens,172.72,-2.54,Yves Edwards,bajo
3576,Ramsey Nijem,180.34,Joe Proctor,177.8,-2.54,Ramsey Nijem,bajo
3577,Daron Cruickshank,172.72,Henry Martinez,170.18,-2.54,Daron Cruickshank,bajo
3578,Francis Carmont,190.5,Tom Lawlor,182.88,-7.62,Francis Carmont,bajo
3579,Cyrille Diabate,198.12,Chad Griggs,185.42,-12.7,Cyrille Diabate,bajo
3580,Antonio Carvalho,175.26,Rodrigo Damm,170.18,-5.08,Antonio Carvalho,bajo
3581,Matthew Riddle,185.42,John Maguire,175.26,-10.16,Matthew Riddle,bajo
3582,Dong Hyun Kim,187.96,Paulo Thiago,180.34,-7.62,Dong Hyun Kim,bajo
3583,Alex Caceres,177.8,Motonobu Tezuka,170.18,-7.62,Alex Caceres,bajo
3584,Glover Teixeira,187.96,Fabio Maldonado,185.42,-2.54,Glover Teixeira,bajo
3585,Phil Davis,187.96,Wagner Prado,182.88,-5.08,Phil Davis,bajo
3586,Demian Maia,185.42,Rick Story,175.26,-10.16,Demian Maia,bajo
3587,Gleison Tibau,177.8,Francisco Trinaldo,175.26,-2.54,Gleison Tibau,bajo
3588,Sergio Moraes,182.88,Renee Forte,170.18,-12.7,Sergio Moraes,bajo
3589,Michael Johnson,177.8,Danny Castillo,175.26,-2.54,Michael Johnson,bajo
3590,Darren Uyenoyama,167.64,Phil Harris,162.56,-5.08,Darren Uyenoyama,bajo
3591,Stefan Struve,210.82,Stipe Miocic,193.04,-17.78,Stefan Struve,bajo
3592,Dan Hardy,182.88,Amir Sadollah,177.8,-5.08,Dan Hardy,bajo
3593,John Hathaway,185.42,John Maguire,175.26,-10.16,John Hathaway,bajo
3594,Che Mills,185.42,Duane Ludwig,177.8,-7.62,Che Mills,bajo
3595,Jon Jones,193.04,Vitor Belfort,182.88,-10.16,Jon Jones,bajo
3596,Matt Hamill,185.42,Roger Hollett,180.34,-5.08,Matt Hamill,bajo
3597,Sean Pierson,182.88,Lance Benoist,180.34,-2.54,Sean Pierson,bajo
3598,Seth Baczynski,190.5,Simeon Thoresen,185.42,-5.08,Seth Baczynski,bajo
3599,Kyle Noke,185.42,Charlie Brenneman,177.8,-7.62,Kyle Noke,bajo
3600,Benson Henderson,175.26,Frankie Edgar,167.64,-7.62,Benson Henderson,bajo
3601,Donald Cerrone,185.42,Melvin Guillard,175.26,-10.16,Donald Cerrone,bajo
3602,Nik Lentz,172.72,Eiji Mitsuoka,170.18,-2.54,Nik Lentz,bajo
3603,Joe Lauzon,177.8,Jamie Varner,172.72,-5.08,Joe Lauzon,bajo
3604,Philip De Fries,195.58,Oli Thompson,185.42,-10.16,Philip De Fries,bajo
3605,Cheick Kongo,193.04,Shawn Jordan,182.88,-10.16,Cheick Kongo,bajo
3606,Bryan Caraway,172.72,Mitch Gagnon,165.1,-7.62,Bryan Caraway,bajo
3607,Antonio Carvalho,175.26,Daniel Pineda,170.18,-5.08,Antonio Carvalho,bajo
3608,James Te Huna,187.96,Joey Beltran,185.42,-2.54,James Te Huna,bajo
3609,Aaron Simpson,182.88,Kenny Robertson,177.8,-5.08,Aaron Simpson,bajo
3610,Anderson Silva,187.96,Chael Sonnen,185.42,-2.54,Anderson Silva,bajo
3611,Cezar Ferreira,185.42,Sergio Moraes,182.88,-2.54,Cezar Ferreira,bajo
3612,Fabricio Werdum,193.04,Mike Russow,185.42,-7.62,Fabricio Werdum,bajo
3613,Marcos Vinicius,175.26,Wagner Campos,167.64,-7.62,Marcos Vinicius,bajo
3614,Gray Maynard,175.26,Clay Guida,170.18,-5.08,Gray Maynard,bajo
3615,Sam Stout,175.26,Spencer Fisher,170.18,-5.08,Sam Stout,bajo
3616,Brian Ebersole,182.88,TJ Waldburger,180.34,-2.54,Brian Ebersole,bajo
3617,Steven Siler,180.34,Joey Gambino,170.18,-10.16,Steven Siler,bajo
3618,Matt Brown,182.88,Luis Ramos,172.72,-10.16,Matt Brown,bajo
3619,Dan Miller,185.42,Ricardo Funch,177.8,-7.62,Dan Miller,bajo
3620,Erick Silva,182.88,Charlie Brenneman,177.8,-5.08,Erick Silva,bajo
3621,Mike Pyle,182.88,Josh Neer,180.34,-2.54,Mike Pyle,bajo
3622,Eddie Wineland,170.18,Scott Jorgensen,165.1,-5.08,Eddie Wineland,bajo
